;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;
mLkNN;0,3921±0,0649;0,5028±0,0563;0,4282±0,0831;0,4116±0,0795;0,4213±0,0797;0,4296±0,0911;0,5074±0,0561;0,4745±0,0666;0,4986±0,0782;0,4505±0,0546;0,4199±0,0703;0,3921±0,0771;0,3713±0,0696;0,4380±0,0735;0,4255±0,0760;0,3907±0,0599;0,4264±0,0795;0,4032±0,0466;0,3949±0,0540;0,3782±0,0457;
bRkNN;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;
bRkNN_a;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;
bRkNN_b;0,4250±0,0561;0,4125±0,0651;0,4083±0,0633;0,4083±0,0633;0,4083±0,0633;0,4125±0,0580;0,4167±0,0597;0,4167±0,0597;0,4125±0,0651;0,4125±0,0651;0,4125±0,0651;0,4125±0,0651;0,4125±0,0651;0,4125±0,0651;0,4125±0,0651;0,4125±0,0651;0,4125±0,0651;0,4125±0,0651;0,4125±0,0651;0,4125±0,0651;
mlmut;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;
mlmut_a;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;
mlmut_b;0,4250±0,0561;0,4250±0,0561;0,4250±0,0561;0,4250±0,0561;0,4250±0,0561;0,4250±0,0561;0,4125±0,0651;0,4083±0,0633;0,4083±0,0633;0,4083±0,0633;0,4083±0,0633;0,4083±0,0633;0,4083±0,0633;0,4125±0,0580;0,4083±0,0633;0,4125±0,0580;0,4125±0,0580;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;
mlnotmut;0,3921±0,0649;0,3921±0,0649;0,3884±0,0617;0,3847±0,0605;0,3884±0,0617;0,3866±0,0636;0,3801±0,0683;0,3977±0,0750;0,3801±0,0602;0,3894±0,0793;0,4009±0,0770;0,3894±0,0793;0,4009±0,0770;0,3894±0,0793;0,4009±0,0770;0,3977±0,0726;0,4185±0,0828;0,4241±0,0908;0,4241±0,0908;0,4241±0,0908;
mlnotmut_a;0,3921±0,0649;0,3921±0,0649;0,3884±0,0617;0,3847±0,0605;0,3884±0,0617;0,3866±0,0636;0,3801±0,0683;0,3977±0,0750;0,3801±0,0602;0,3894±0,0793;0,4009±0,0770;0,3894±0,0793;0,4009±0,0770;0,3894±0,0793;0,4009±0,0770;0,3977±0,0726;0,4185±0,0828;0,4241±0,0908;0,4241±0,0908;0,4241±0,0908;
mlnotmut_b;0,3921±0,0649;0,3940±0,0603;0,3745±0,0597;0,3847±0,0605;0,3944±0,0561;0,3806±0,0690;0,3838±0,0716;0,3880±0,0733;0,3875±0,0692;0,3917±0,0732;0,3907±0,0863;0,3917±0,0732;0,3949±0,0894;0,3917±0,0732;0,3907±0,0863;0,3958±0,0697;0,4032±0,0831;0,4407±0,0664;0,4616±0,1080;0,4407±0,0664;
