;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;0,4333±0,0473;
mLkNN;0,1616±0,0678;0,1616±0,0678;0,1898±0,0746;0,2347±0,0737;0,2660±0,0657;0,2523±0,0491;0,2211±0,0643;0,2398±0,0608;0,2514±0,0686;0,2618±0,0716;0,2775±0,0932;0,2618±0,0823;0,2764±0,0660;0,2514±0,0803;0,2748±0,0736;0,2632±0,0570;0,2759±0,0843;0,2280±0,0852;0,2414±0,0663;0,2727±0,0466;
bRkNN;0,1667±0,0567;0,2484±0,0574;0,2546±0,0512;0,2991±0,0624;0,3407±0,0557;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;
bRkNN_a;0,1667±0,0567;0,2484±0,0574;0,2546±0,0512;0,2991±0,0624;0,3407±0,0557;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;0,3741±0,0495;
bRkNN_b;0,2120±0,0638;0,2977±0,0827;0,3019±0,0801;0,3458±0,0928;0,3833±0,0803;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;0,4167±0,0597;
mlmut;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;
mlmut_a;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;0,1667±0,0567;
mlmut_b;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;0,2120±0,0638;
mlnotmut;0,1616±0,0678;0,1981±0,0721;0,2053±0,0749;0,2037±0,0644;0,2178±0,0650;0,2206±0,0799;0,2106±0,0812;0,2315±0,0638;0,2250±0,0696;0,2472±0,0818;0,2664±0,0753;0,2873±0,0793;0,2993±0,0702;0,3201±0,0728;0,3076±0,0700;0,3366±0,0576;0,3262±0,0747;0,3525±0,0737;0,3630±0,0654;0,3838±0,0685;
mlnotmut_a;0,1616±0,0678;0,2023±0,0732;0,2053±0,0749;0,2037±0,0644;0,2178±0,0650;0,2206±0,0799;0,2106±0,0812;0,2315±0,0638;0,2250±0,0696;0,2472±0,0818;0,2664±0,0753;0,2873±0,0793;0,2993±0,0702;0,3201±0,0728;0,3076±0,0700;0,3366±0,0576;0,3262±0,0747;0,3525±0,0737;0,3630±0,0654;0,3838±0,0685;
mlnotmut_b;0,1616±0,0678;0,2088±0,0665;0,2317±0,0583;0,1995±0,0673;0,2213±0,0722;0,2301±0,0923;0,2111±0,0635;0,2306±0,0858;0,2269±0,0616;0,2588±0,1005;0,2817±0,1067;0,2877±0,0665;0,3067±0,1069;0,3347±0,0713;0,3417±0,0904;0,3472±0,0478;0,3734±0,0706;0,3875±0,0775;0,3875±0,0764;0,4125±0,0738;
