;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;
mLkNN;0,3736±0,0151;0,3770±0,0183;0,3825±0,0276;0,4332±0,0368;0,4671±0,0501;0,4917±0,0465;0,4933±0,0428;0,4865±0,0453;0,4902±0,0571;0,4008±0,0340;0,4324±0,0549;0,4541±0,0697;0,4517±0,0463;0,4358±0,0253;0,4223±0,0620;0,4048±0,0512;0,4210±0,0499;0,4109±0,0445;0,4437±0,0535;0,4561±0,0537;
bRkNN;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;
bRkNN_a;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;
bRkNN_b;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;
mlmut;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;
mlmut_a;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;0,3662±0,0112;
mlmut_b;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;
mlnotmut;0,3736±0,0151;0,4773±0,0534;0,4988±0,0870;0,4328±0,0416;0,3942±0,0198;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3903±0,0153;0,3697±0,0121;0,3903±0,0153;0,3903±0,0153;0,3903±0,0153;0,3903±0,0153;
mlnotmut_a;0,3736±0,0151;0,4773±0,0534;0,4988±0,0870;0,4328±0,0416;0,3942±0,0198;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3903±0,0153;0,3697±0,0121;0,3903±0,0153;0,3903±0,0153;0,3903±0,0153;0,3903±0,0153;
mlnotmut_b;0,3736±0,0151;0,4449±0,0481;0,4988±0,0870;0,4291±0,0410;0,4236±0,0367;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3763±0,0144;0,3830±0,0097;0,3763±0,0144;0,3736±0,0151;
