;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;0,3736±0,0151;
mLkNN;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0647±0,0129;0,0647±0,0129;0,0659±0,0127;0,0675±0,0128;0,0689±0,0143;0,0698±0,0137;0,0736±0,0143;0,0743±0,0147;0,0770±0,0153;0,0792±0,0166;0,0786±0,0169;0,0776±0,0162;0,0758±0,0159;0,0780±0,0165;0,0773±0,0151;0,0764±0,0132;0,0801±0,0134;
bRkNN;0,0597±0,0084;0,0909±0,0092;0,1234±0,0058;0,1396±0,0085;0,1578±0,0166;0,1712±0,0142;0,1800±0,0147;0,1865±0,0141;0,1944±0,0099;0,2019±0,0112;0,2077±0,0131;0,2136±0,0123;0,2153±0,0125;0,2162±0,0116;0,2162±0,0116;0,2174±0,0132;0,2191±0,0116;0,2200±0,0116;0,2242±0,0059;0,2318±0,0117;
bRkNN_a;0,0597±0,0084;0,0909±0,0092;0,1234±0,0058;0,1396±0,0085;0,1578±0,0166;0,1712±0,0142;0,1800±0,0147;0,1865±0,0141;0,1944±0,0099;0,2019±0,0112;0,2077±0,0131;0,2136±0,0123;0,2153±0,0125;0,2162±0,0116;0,2162±0,0116;0,2174±0,0132;0,2191±0,0116;0,2200±0,0116;0,2242±0,0059;0,2318±0,0117;
bRkNN_b;0,0643±0,0123;0,0935±0,0072;0,1231±0,0088;0,1395±0,0115;0,1576±0,0179;0,1705±0,0156;0,1816±0,0174;0,1859±0,0180;0,1931±0,0166;0,2007±0,0179;0,2063±0,0195;0,2109±0,0178;0,2127±0,0180;0,2133±0,0173;0,2133±0,0173;0,2156±0,0209;0,2156±0,0209;0,2156±0,0209;0,2194±0,0169;0,2258±0,0129;
mlmut;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;
mlmut_a;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;0,0597±0,0084;
mlmut_b;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;0,0643±0,0123;
mlnotmut;0,0643±0,0123;0,1126±0,0142;0,1063±0,0122;0,1078±0,0088;0,0945±0,0127;0,0960±0,0173;0,1021±0,0152;0,1069±0,0192;0,1136±0,0143;0,1204±0,0141;0,1256±0,0111;0,1329±0,0129;0,1307±0,0124;0,1366±0,0153;0,1342±0,0121;0,1309±0,0181;0,1446±0,0134;0,1421±0,0178;0,1475±0,0160;0,1383±0,0215;
mlnotmut_a;0,0643±0,0123;0,1120±0,0131;0,1063±0,0122;0,1077±0,0086;0,0945±0,0127;0,0961±0,0175;0,1021±0,0152;0,1069±0,0192;0,1136±0,0143;0,1204±0,0141;0,1256±0,0111;0,1329±0,0129;0,1307±0,0124;0,1366±0,0153;0,1342±0,0121;0,1309±0,0181;0,1446±0,0134;0,1421±0,0178;0,1475±0,0160;0,1383±0,0215;
mlnotmut_b;0,0643±0,0123;0,1021±0,0077;0,1084±0,0121;0,1056±0,0104;0,1068±0,0101;0,0989±0,0178;0,1068±0,0152;0,1101±0,0177;0,1148±0,0136;0,1236±0,0131;0,1277±0,0090;0,1350±0,0117;0,1379±0,0096;0,1396±0,0136;0,1340±0,0162;0,1356±0,0171;0,1404±0,0176;0,1437±0,0176;0,1398±0,0199;0,1308±0,0290;
