;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;
mLkNN;0,1883±0,0572;0,1942±0,0511;0,1991±0,0507;0,2301±0,0354;0,2350±0,0413;0,2339±0,0304;0,2183±0,0314;0,2494±0,0417;0,2219±0,0312;0,2398±0,0213;0,2386±0,0424;0,2303±0,0490;0,2387±0,0484;0,2207±0,0467;0,2195±0,0433;0,2207±0,0431;0,2207±0,0481;0,2219±0,0462;0,2184±0,0480;0,2195±0,0485;
bRkNN;0,1846±0,0552;0,2339±0,0447;0,2711±0,0450;0,2843±0,0439;0,3274±0,0277;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;
bRkNN_a;0,1846±0,0552;0,2339±0,0447;0,2711±0,0450;0,2843±0,0439;0,3274±0,0277;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;
bRkNN_b;0,1716±0,0425;0,2196±0,0373;0,2544±0,0367;0,2676±0,0410;0,3155±0,0181;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;
mlmut;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;
mlmut_a;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;0,1846±0,0552;
mlmut_b;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;0,1716±0,0425;
mlnotmut;0,1883±0,0572;0,2389±0,0676;0,2183±0,0517;0,2423±0,0495;0,2355±0,0448;0,2497±0,0405;0,2474±0,0431;0,2533±0,0412;0,2509±0,0340;0,2450±0,0431;0,2519±0,0361;0,2748±0,0355;0,2674±0,0338;0,2840±0,0514;0,2949±0,0407;0,3117±0,0381;0,3069±0,0456;0,3142±0,0407;0,3057±0,0441;0,3093±0,0395;
mlnotmut_a;0,1883±0,0572;0,2377±0,0686;0,2183±0,0517;0,2423±0,0495;0,2355±0,0448;0,2497±0,0405;0,2474±0,0431;0,2533±0,0412;0,2509±0,0340;0,2450±0,0431;0,2519±0,0361;0,2748±0,0355;0,2674±0,0338;0,2840±0,0514;0,2949±0,0407;0,3117±0,0381;0,3069±0,0456;0,3142±0,0407;0,3057±0,0441;0,3093±0,0395;
mlnotmut_b;0,1883±0,0572;0,2174±0,0558;0,2170±0,0354;0,2328±0,0457;0,2340±0,0409;0,2806±0,0308;0,2556±0,0517;0,2486±0,0446;0,2544±0,0308;0,2820±0,0396;0,2746±0,0607;0,2819±0,0443;0,2818±0,0507;0,2939±0,0485;0,2913±0,0444;0,2997±0,0425;0,3046±0,0375;0,3167±0,0393;0,3117±0,0381;0,3177±0,0360;
