;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;
mLkNN;0,1655±0,0481;0,1860±0,0348;0,2040±0,0429;0,2026±0,0277;0,2329±0,0527;0,1969±0,0455;0,1872±0,0362;0,2197±0,0420;0,2314±0,0234;0,2387±0,0465;0,2266±0,0514;0,2219±0,0523;0,2376±0,0489;0,2303±0,0684;0,2339±0,0625;0,2075±0,0557;0,2616±0,0563;0,2241±0,0292;0,2486±0,0576;0,2172±0,0391;
bRkNN;0,1667±0,0463;0,2137±0,0407;0,2617±0,0529;0,2628±0,0534;0,2880±0,0471;0,2880±0,0471;0,3130±0,0259;0,3285±0,0370;0,3285±0,0370;0,3285±0,0370;0,3285±0,0370;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;
bRkNN_a;0,1667±0,0463;0,2137±0,0407;0,2617±0,0529;0,2628±0,0534;0,2880±0,0471;0,2880±0,0471;0,3130±0,0259;0,3285±0,0370;0,3285±0,0370;0,3285±0,0370;0,3285±0,0370;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;0,3310±0,0372;
bRkNN_b;0,1655±0,0470;0,2065±0,0420;0,2640±0,0515;0,2689±0,0540;0,3000±0,0430;0,3036±0,0465;0,3214±0,0231;0,3296±0,0309;0,3331±0,0310;0,3355±0,0363;0,3332±0,0351;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;
mlmut;0,1667±0,0463;0,1763±0,0402;0,1786±0,0364;0,1774±0,0395;0,1751±0,0381;0,1776±0,0393;0,1739±0,0392;0,1751±0,0393;0,1739±0,0392;0,1739±0,0392;0,1774±0,0464;0,1774±0,0464;0,1774±0,0464;0,1774±0,0464;0,1774±0,0464;0,1774±0,0464;0,1774±0,0464;0,1787±0,0465;0,1787±0,0465;0,1787±0,0465;
mlmut_a;0,1667±0,0463;0,1763±0,0402;0,1786±0,0364;0,1774±0,0395;0,1751±0,0381;0,1776±0,0393;0,1739±0,0392;0,1751±0,0393;0,1739±0,0392;0,1739±0,0392;0,1774±0,0464;0,1774±0,0464;0,1774±0,0464;0,1774±0,0464;0,1774±0,0464;0,1774±0,0464;0,1774±0,0464;0,1787±0,0465;0,1787±0,0465;0,1787±0,0465;
mlmut_b;0,1643±0,0471;0,1751±0,0396;0,1739±0,0374;0,1739±0,0360;0,1787±0,0393;0,1870±0,0353;0,1882±0,0383;0,1882±0,0383;0,1858±0,0390;0,1893±0,0405;0,1940±0,0440;0,1952±0,0469;0,1952±0,0469;0,1952±0,0469;0,1952±0,0469;0,1952±0,0469;0,1952±0,0469;0,1964±0,0463;0,1964±0,0463;0,1964±0,0463;
mlnotmut;0,1885±0,0386;0,2296±0,0642;0,1894±0,0407;0,2183±0,0538;0,2162±0,0485;0,2390±0,0550;0,2496±0,0481;0,2652±0,0501;0,2834±0,0495;0,2771±0,0492;0,2731±0,0374;0,2828±0,0478;0,2902±0,0391;0,2878±0,0485;0,2903±0,0416;0,2986±0,0464;0,2885±0,0518;0,3054±0,0424;0,3115±0,0406;0,3165±0,0428;
mlnotmut_a;0,1885±0,0386;0,2296±0,0642;0,1894±0,0407;0,2195±0,0563;0,2162±0,0485;0,2403±0,0564;0,2496±0,0481;0,2652±0,0501;0,2834±0,0495;0,2784±0,0499;0,2731±0,0374;0,2828±0,0478;0,2902±0,0391;0,2878±0,0485;0,2903±0,0416;0,2986±0,0464;0,2885±0,0518;0,3054±0,0424;0,3115±0,0406;0,3165±0,0428;
mlnotmut_b;0,2001±0,0359;0,2316±0,0377;0,2156±0,0383;0,2300±0,0362;0,2341±0,0449;0,2604±0,0500;0,2758±0,0487;0,2903±0,0486;0,3027±0,0482;0,2951±0,0382;0,2910±0,0390;0,2910±0,0451;0,3116±0,0387;0,3080±0,0363;0,3094±0,0464;0,3115±0,0408;0,3005±0,0519;0,3054±0,0468;0,3104±0,0428;0,3117±0,0448;
