;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;
mLkNN;0,3322±0,0363;0,3393±0,0358;0,3393±0,0358;0,3370±0,0350;0,3441±0,0369;0,3549±0,0285;0,3525±0,0314;0,3620±0,0385;0,3668±0,0377;0,3584±0,0318;0,3863±0,0436;0,4090±0,0685;0,4657±0,0753;0,4501±0,0671;0,4430±0,0769;0,3930±0,0461;0,4074±0,0535;0,4287±0,0893;0,4086±0,0588;0,4096±0,0883;
bRkNN;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;
bRkNN_a;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;
bRkNN_b;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;
mlmut;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;
mlmut_a;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;0,3430±0,0332;
mlmut_b;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;0,3311±0,0199;
mlnotmut;0,3322±0,0363;0,3793±0,0638;0,3322±0,0363;0,3322±0,0363;0,3298±0,0189;0,3370±0,0218;0,3298±0,0189;0,3298±0,0189;0,3298±0,0189;0,3298±0,0189;0,3311±0,0199;0,3298±0,0189;0,3311±0,0199;0,3335±0,0368;0,3335±0,0368;0,3322±0,0363;0,3335±0,0368;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;
mlnotmut_a;0,3322±0,0363;0,3793±0,0638;0,3322±0,0363;0,3322±0,0363;0,3298±0,0189;0,3370±0,0218;0,3298±0,0189;0,3298±0,0189;0,3298±0,0189;0,3298±0,0189;0,3311±0,0199;0,3298±0,0189;0,3311±0,0199;0,3335±0,0368;0,3335±0,0368;0,3322±0,0363;0,3335±0,0368;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;
mlnotmut_b;0,3322±0,0363;0,3799±0,0444;0,3489±0,0328;0,3298±0,0189;0,3333±0,0209;0,3836±0,0266;0,3357±0,0372;0,3298±0,0189;0,3346±0,0191;0,3822±0,0423;0,3560±0,0447;0,3322±0,0363;0,3322±0,0363;0,3397±0,0425;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;0,3322±0,0363;
