;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;
mLkNN;0,1697±0,0457;0,1894±0,0519;0,2036±0,0508;0,1974±0,0391;0,2324±0,0592;0,2032±0,0543;0,1819±0,0499;0,2193±0,0388;0,2207±0,0334;0,2276±0,0579;0,2159±0,0593;0,2171±0,0505;0,2016±0,0438;0,2262±0,0506;0,2138±0,0433;0,2162±0,0522;0,2409±0,0462;0,2130±0,0358;0,2459±0,0381;0,2180±0,0367;
bRkNN;0,1615±0,0418;0,2073±0,0321;0,2559±0,0414;0,2715±0,0404;0,2868±0,0410;0,2893±0,0442;0,3103±0,0417;0,3268±0,0527;0,3292±0,0475;0,3292±0,0475;0,3292±0,0475;0,3292±0,0475;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;
bRkNN_a;0,1615±0,0418;0,2073±0,0321;0,2559±0,0414;0,2715±0,0404;0,2868±0,0410;0,2893±0,0442;0,3103±0,0417;0,3268±0,0527;0,3292±0,0475;0,3292±0,0475;0,3292±0,0475;0,3292±0,0475;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;
bRkNN_b;0,1627±0,0412;0,2036±0,0317;0,2558±0,0388;0,2751±0,0416;0,2964±0,0433;0,3024±0,0482;0,3188±0,0455;0,3257±0,0518;0,3294±0,0516;0,3294±0,0516;0,3280±0,0475;0,3280±0,0475;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;
mlmut;0,1661±0,0422;0,1816±0,0374;0,1816±0,0395;0,1817±0,0412;0,1781±0,0479;0,1803±0,0415;0,1768±0,0428;0,1768±0,0428;0,1768±0,0428;0,1805±0,0423;0,1805±0,0423;0,1805±0,0423;0,1805±0,0423;0,1805±0,0423;0,1805±0,0423;0,1805±0,0423;0,1805±0,0423;0,1805±0,0423;0,1805±0,0423;0,1792±0,0435;
mlmut_a;0,1661±0,0422;0,1792±0,0363;0,1805±0,0379;0,1806±0,0397;0,1769±0,0462;0,1792±0,0400;0,1756±0,0415;0,1756±0,0415;0,1756±0,0415;0,1793±0,0411;0,1793±0,0411;0,1793±0,0411;0,1793±0,0411;0,1793±0,0411;0,1793±0,0411;0,1793±0,0411;0,1793±0,0411;0,1793±0,0411;0,1793±0,0411;0,1781±0,0422;
mlmut_b;0,1661±0,0422;0,1803±0,0448;0,1804±0,0422;0,1815±0,0437;0,1768±0,0424;0,1850±0,0423;0,1897±0,0445;0,1909±0,0455;0,1897±0,0441;0,1970±0,0533;0,1958±0,0544;0,1970±0,0537;0,1970±0,0537;0,1970±0,0537;0,1970±0,0537;0,1970±0,0537;0,1970±0,0537;0,1970±0,0537;0,1970±0,0537;0,1970±0,0537;
mlnotmut;0,1998±0,0382;0,2297±0,0234;0,2148±0,0497;0,2535±0,0507;0,2572±0,0358;0,2740±0,0413;0,2740±0,0442;0,2748±0,0510;0,2761±0,0491;0,2837±0,0750;0,2869±0,0975;0,2864±0,0645;0,2697±0,0475;0,2756±0,0446;0,2856±0,0400;0,2806±0,0370;0,2743±0,0374;0,2815±0,0394;0,2898±0,0362;0,3018±0,0370;
mlnotmut_a;0,1975±0,0363;0,2238±0,0201;0,2148±0,0497;0,2559±0,0493;0,2572±0,0358;0,2752±0,0422;0,2740±0,0442;0,2760±0,0501;0,2761±0,0491;0,2862±0,0731;0,2869±0,0975;0,2864±0,0645;0,2697±0,0475;0,2756±0,0446;0,2856±0,0400;0,2806±0,0370;0,2743±0,0374;0,2815±0,0394;0,2898±0,0362;0,3018±0,0370;
mlnotmut_b;0,2082±0,0456;0,2431±0,0273;0,2446±0,0467;0,2633±0,0512;0,2856±0,0392;0,2903±0,0560;0,2978±0,0425;0,3044±0,0604;0,2965±0,0529;0,3055±0,0694;0,3084±0,0982;0,3171±0,0796;0,2937±0,0465;0,2955±0,0572;0,3069±0,0493;0,2911±0,0580;0,2837±0,0428;0,2933±0,0446;0,2931±0,0434;0,2993±0,0381;
