;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;
mLkNN;0,1890±0,0541;0,1856±0,0538;0,1929±0,0524;0,2272±0,0572;0,2261±0,0565;0,2274±0,0596;0,2144±0,0542;0,2276±0,0544;0,2165±0,0537;0,2311±0,0508;0,2167±0,0529;0,2129±0,0551;0,2242±0,0550;0,2046±0,0534;0,2120±0,0484;0,2205±0,0483;0,2132±0,0487;0,2122±0,0478;0,2075±0,0499;0,2062±0,0479;
bRkNN;0,1762±0,0532;0,2340±0,0576;0,2631±0,0443;0,2907±0,0407;0,3212±0,0436;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;
bRkNN_a;0,1762±0,0532;0,2340±0,0576;0,2631±0,0443;0,2907±0,0407;0,3212±0,0436;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;
bRkNN_b;0,1641±0,0521;0,2195±0,0503;0,2498±0,0391;0,2775±0,0400;0,3127±0,0459;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;
mlmut;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;
mlmut_a;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;0,1762±0,0532;
mlmut_b;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;0,1641±0,0521;
mlnotmut;0,1902±0,0546;0,2646±0,0452;0,2069±0,0544;0,2346±0,0462;0,2216±0,0495;0,2290±0,0483;0,2238±0,0523;0,2768±0,0491;0,2338±0,0431;0,2565±0,0453;0,2660±0,0405;0,2875±0,0431;0,2777±0,0584;0,2919±0,0555;0,3017±0,0454;0,3150±0,0408;0,3040±0,0450;0,3162±0,0432;0,3103±0,0406;0,3176±0,0434;
mlnotmut_a;0,1902±0,0546;0,2658±0,0463;0,2069±0,0544;0,2358±0,0465;0,2216±0,0495;0,2290±0,0483;0,2238±0,0523;0,2768±0,0491;0,2338±0,0431;0,2565±0,0453;0,2660±0,0405;0,2875±0,0431;0,2777±0,0584;0,2919±0,0555;0,3017±0,0454;0,3150±0,0408;0,3040±0,0450;0,3162±0,0432;0,3103±0,0406;0,3176±0,0434;
mlnotmut_b;0,1902±0,0546;0,2394±0,0529;0,2106±0,0577;0,2250±0,0515;0,2350±0,0443;0,2639±0,0529;0,2831±0,0523;0,3113±0,0552;0,2531±0,0439;0,2627±0,0408;0,2659±0,0512;0,2901±0,0371;0,2812±0,0600;0,2895±0,0544;0,2983±0,0492;0,3117±0,0383;0,3140±0,0361;0,3186±0,0418;0,3211±0,0425;0,3272±0,0418;
