;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;
mLkNN;0,3410±0,0585;0,3340±0,0497;0,3340±0,0497;0,3317±0,0482;0,3285±0,0479;0,3556±0,0365;0,3558±0,0498;0,3729±0,0708;0,3694±0,0625;0,3576±0,0544;0,3658±0,0642;0,3657±0,0671;0,4235±0,0766;0,4627±0,0861;0,4701±0,0831;0,3944±0,0499;0,3908±0,0694;0,3825±0,0731;0,4109±0,0621;0,4194±0,0700;
bRkNN;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;
bRkNN_a;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;
bRkNN_b;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;
mlmut;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;
mlmut_a;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;0,3379±0,0493;
mlmut_b;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;0,3306±0,0474;
mlnotmut;0,3410±0,0585;0,3930±0,0797;0,3317±0,0501;0,3317±0,0482;0,3306±0,0453;0,3294±0,0460;0,3467±0,0420;0,3850±0,0830;0,3306±0,0474;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;
mlnotmut_a;0,3410±0,0585;0,3930±0,0797;0,3317±0,0501;0,3317±0,0482;0,3306±0,0453;0,3294±0,0460;0,3467±0,0420;0,3850±0,0830;0,3306±0,0474;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;
mlnotmut_b;0,3410±0,0585;0,3740±0,0742;0,3515±0,0575;0,3478±0,0373;0,3306±0,0453;0,3825±0,0625;0,4188±0,0688;0,4357±0,0529;0,3688±0,0693;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;0,3317±0,0482;
