;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;
mLkNN;0,1277±0,0506;0,1258±0,0510;0,1464±0,0459;0,1570±0,0361;0,1843±0,0509;0,1816±0,0440;0,2360±0,0581;0,2589±0,0563;0,2256±0,0658;0,2244±0,0541;0,2443±0,0600;0,2358±0,0573;0,3089±0,0986;0,2487±0,0936;0,2443±0,0692;0,2297±0,0645;0,2915±0,0710;0,2502±0,0549;0,2587±0,0715;0,2652±0,0795;
bRkNN;0,1820±0,0904;0,2678±0,0817;0,2983±0,0664;0,3468±0,0551;0,3468±0,0551;0,3926±0,0512;0,4093±0,0436;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;
bRkNN_a;0,1799±0,0870;0,2657±0,0793;0,2983±0,0664;0,3468±0,0551;0,3468±0,0551;0,3926±0,0512;0,4093±0,0436;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;0,4314±0,0484;
bRkNN_b;0,1758±0,0810;0,2616±0,0755;0,2983±0,0664;0,3468±0,0551;0,3489±0,0568;0,3947±0,0538;0,4155±0,0476;0,4335±0,0488;0,4335±0,0488;0,4335±0,0488;0,4335±0,0488;0,4335±0,0488;0,4335±0,0488;0,4335±0,0488;0,4335±0,0488;0,4335±0,0488;0,4335±0,0488;0,4335±0,0488;0,4335±0,0488;0,4335±0,0488;
mlmut;0,1777±0,0795;0,1820±0,0904;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;0,1896±0,0862;
mlmut_a;0,1777±0,0795;0,1799±0,0870;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;0,1875±0,0828;
mlmut_b;0,1777±0,0795;0,1758±0,0810;0,1833±0,0768;0,1871±0,0767;0,1871±0,0767;0,1871±0,0767;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;0,1892±0,0790;
mlnotmut;0,1394±0,0569;0,2021±0,0684;0,2062±0,0606;0,2212±0,0599;0,2170±0,0527;0,2212±0,0643;0,2157±0,0450;0,2553±0,0710;0,2705±0,0655;0,2824±0,0689;0,3030±0,0720;0,3055±0,0651;0,3072±0,0646;0,3072±0,0692;0,3301±0,0657;0,3282±0,0621;0,3178±0,0533;0,3341±0,0683;0,3443±0,0725;0,3545±0,0645;
mlnotmut_a;0,1373±0,0562;0,1960±0,0620;0,2062±0,0606;0,2212±0,0599;0,2170±0,0527;0,2233±0,0650;0,2157±0,0450;0,2553±0,0710;0,2705±0,0655;0,2824±0,0689;0,3030±0,0720;0,3055±0,0651;0,3072±0,0646;0,3072±0,0692;0,3301±0,0657;0,3282±0,0621;0,3178±0,0533;0,3341±0,0683;0,3443±0,0725;0,3545±0,0645;
mlnotmut_b;0,1451±0,0589;0,1816±0,0650;0,2064±0,0615;0,2027±0,0716;0,2235±0,0527;0,2068±0,0678;0,2159±0,0462;0,2477±0,0499;0,2746±0,0640;0,2805±0,0666;0,3009±0,0713;0,3180±0,0730;0,3093±0,0646;0,3093±0,0727;0,3301±0,0756;0,3301±0,0668;0,3138±0,0531;0,3384±0,0707;0,3422±0,0749;0,3631±0,0608;
