;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;
mLkNN;0,3960±0,0737;0,5002±0,0311;0,4513±0,1000;0,4097±0,0793;0,3972±0,0781;0,4131±0,0568;0,4631±0,0197;0,4881±0,0703;0,4862±0,0805;0,4847±0,0639;0,4244±0,0715;0,4138±0,0796;0,3752±0,0610;0,4078±0,0536;0,4059±0,0855;0,3953±0,0755;0,4328±0,0829;0,3994±0,0555;0,3869±0,0612;0,3828±0,0472;
bRkNN;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;
bRkNN_a;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;
bRkNN_b;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4294±0,0578;0,4294±0,0578;0,4294±0,0578;0,4294±0,0578;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;
mlmut;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;
mlmut_a;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;
mlmut_b;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4210±0,0590;0,4294±0,0500;0,4294±0,0500;0,4294±0,0500;0,4294±0,0500;
mlnotmut;0,3960±0,0737;0,4085±0,0733;0,3960±0,0737;0,4002±0,0679;0,3960±0,0737;0,4002±0,0679;0,4104±0,0833;0,4146±0,0810;0,4104±0,0833;0,3960±0,0737;0,3960±0,0774;0,3960±0,0737;0,3960±0,0774;0,3960±0,0737;0,4188±0,0835;0,3960±0,0737;0,4104±0,0833;0,4271±0,0777;0,4188±0,0835;0,4188±0,0835;
mlnotmut_a;0,3960±0,0737;0,4085±0,0733;0,3960±0,0737;0,4002±0,0679;0,3960±0,0737;0,4002±0,0679;0,4104±0,0833;0,4146±0,0810;0,4104±0,0833;0,3960±0,0737;0,3960±0,0774;0,3960±0,0737;0,3960±0,0774;0,3960±0,0737;0,4188±0,0835;0,3960±0,0737;0,4104±0,0833;0,4271±0,0777;0,4188±0,0835;0,4188±0,0835;
mlnotmut_b;0,3960±0,0737;0,4085±0,0704;0,3960±0,0737;0,3960±0,0678;0,3960±0,0737;0,4002±0,0679;0,3877±0,0708;0,4127±0,0951;0,3877±0,0708;0,3960±0,0737;0,3960±0,0737;0,3960±0,0737;0,3960±0,0737;0,3960±0,0737;0,3960±0,0737;0,3960±0,0737;0,3960±0,0792;0,4294±0,0527;0,4294±0,0527;0,4044±0,0698;
