;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;0,4377±0,0456;
mLkNN;0,1574±0,0739;0,1574±0,0739;0,1949±0,0647;0,2136±0,0680;0,2532±0,0533;0,2366±0,0556;0,2324±0,0744;0,2403±0,0610;0,2485±0,0547;0,2521±0,0653;0,2756±0,0662;0,2574±0,0751;0,2636±0,0692;0,2511±0,0810;0,2595±0,0847;0,2470±0,0580;0,2629±0,0619;0,2225±0,0937;0,2379±0,0788;0,2670±0,0704;
bRkNN;0,1665±0,0754;0,2485±0,0624;0,2589±0,0574;0,3057±0,0563;0,3473±0,0539;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;
bRkNN_a;0,1665±0,0754;0,2485±0,0624;0,2589±0,0574;0,3057±0,0563;0,3473±0,0539;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;0,3744±0,0492;
bRkNN_b;0,2074±0,0972;0,2975±0,0861;0,3184±0,0754;0,3794±0,0603;0,4127±0,0613;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;0,4377±0,0471;
mlmut;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;
mlmut_a;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;0,1665±0,0754;
mlmut_b;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;0,2074±0,0972;
mlnotmut;0,1574±0,0739;0,2011±0,0760;0,1920±0,0769;0,2066±0,0601;0,2025±0,0669;0,2195±0,0524;0,2191±0,0451;0,2347±0,0768;0,2417±0,0553;0,2826±0,0762;0,3110±0,0947;0,3172±0,0879;0,3297±0,0849;0,3402±0,0758;0,3422±0,0681;0,3360±0,0723;0,3216±0,0642;0,3525±0,0725;0,3587±0,0727;0,3691±0,0738;
mlnotmut_a;0,1574±0,0739;0,1991±0,0735;0,1920±0,0769;0,2066±0,0601;0,2025±0,0669;0,2195±0,0524;0,2191±0,0451;0,2347±0,0768;0,2417±0,0553;0,2826±0,0762;0,3110±0,0947;0,3172±0,0879;0,3297±0,0849;0,3402±0,0758;0,3422±0,0681;0,3360±0,0723;0,3216±0,0642;0,3525±0,0725;0,3587±0,0727;0,3691±0,0738;
mlnotmut_b;0,1574±0,0739;0,1924±0,0665;0,1903±0,0706;0,2129±0,0696;0,2208±0,0650;0,2216±0,0576;0,2254±0,0463;0,2388±0,0610;0,2496±0,0576;0,2805±0,0781;0,2884±0,0839;0,3093±0,0850;0,3218±0,0729;0,3460±0,0884;0,3301±0,0678;0,3377±0,0836;0,3460±0,0899;0,3631±0,0769;0,3634±0,0585;0,3672±0,0733;
