;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;
mLkNN;0,0699±0,0040;0,0701±0,0081;0,0761±0,0053;0,0824±0,0033;0,0835±0,0049;0,0931±0,0036;0,0932±0,0065;0,0953±0,0045;0,0972±0,0043;0,0994±0,0051;0,0958±0,0072;0,0980±0,0084;0,1003±0,0060;0,1007±0,0061;0,1085±0,0061;0,1088±0,0075;0,1055±0,0055;0,1054±0,0105;0,1112±0,0073;0,1082±0,0068;
bRkNN;0,0693±0,0043;0,0883±0,0062;0,1023±0,0086;0,1111±0,0064;0,1194±0,0075;0,1329±0,0099;0,1397±0,0090;0,1493±0,0079;0,1527±0,0066;0,1571±0,0085;0,1642±0,0068;0,1660±0,0071;0,1687±0,0061;0,1758±0,0094;0,1832±0,0066;0,1852±0,0076;0,1897±0,0060;0,1964±0,0047;0,2005±0,0052;0,2072±0,0055;
bRkNN_a;0,0692±0,0043;0,0882±0,0062;0,1023±0,0086;0,1111±0,0064;0,1194±0,0075;0,1329±0,0099;0,1397±0,0090;0,1493±0,0079;0,1527±0,0066;0,1571±0,0085;0,1642±0,0068;0,1660±0,0071;0,1687±0,0061;0,1758±0,0094;0,1832±0,0066;0,1852±0,0076;0,1897±0,0060;0,1964±0,0047;0,2005±0,0052;0,2072±0,0055;
bRkNN_b;0,0685±0,0045;0,0881±0,0073;0,1021±0,0090;0,1131±0,0065;0,1220±0,0071;0,1357±0,0086;0,1429±0,0075;0,1516±0,0077;0,1552±0,0065;0,1613±0,0071;0,1692±0,0091;0,1728±0,0096;0,1761±0,0085;0,1833±0,0132;0,1899±0,0101;0,1936±0,0097;0,1995±0,0075;0,2064±0,0078;0,2114±0,0059;0,2174±0,0051;
mlmut;0,0692±0,0040;0,0700±0,0042;0,0722±0,0029;0,0734±0,0031;0,0769±0,0033;0,0771±0,0048;0,0775±0,0048;0,0768±0,0043;0,0783±0,0036;0,0786±0,0041;0,0783±0,0043;0,0786±0,0041;0,0791±0,0038;0,0794±0,0044;0,0795±0,0042;0,0809±0,0043;0,0809±0,0040;0,0814±0,0043;0,0811±0,0041;0,0827±0,0058;
mlmut_a;0,0691±0,0041;0,0699±0,0042;0,0721±0,0030;0,0733±0,0032;0,0766±0,0035;0,0769±0,0050;0,0773±0,0049;0,0766±0,0044;0,0781±0,0038;0,0784±0,0043;0,0783±0,0044;0,0784±0,0043;0,0790±0,0039;0,0793±0,0045;0,0794±0,0043;0,0807±0,0044;0,0808±0,0041;0,0813±0,0044;0,0810±0,0043;0,0826±0,0059;
mlmut_b;0,0684±0,0043;0,0703±0,0038;0,0734±0,0029;0,0749±0,0026;0,0783±0,0032;0,0792±0,0047;0,0800±0,0046;0,0819±0,0041;0,0826±0,0044;0,0841±0,0032;0,0840±0,0041;0,0847±0,0035;0,0864±0,0036;0,0878±0,0040;0,0906±0,0043;0,0924±0,0057;0,0939±0,0045;0,0952±0,0060;0,0954±0,0061;0,0968±0,0060;
mlnotmut;0,0773±0,0049;0,0906±0,0037;0,0889±0,0069;0,0964±0,0131;0,0941±0,0088;0,0992±0,0057;0,1009±0,0085;0,1069±0,0076;0,1066±0,0067;0,1137±0,0053;0,1140±0,0058;0,1192±0,0080;0,1190±0,0078;0,1228±0,0089;0,1219±0,0098;0,1220±0,0106;0,1192±0,0140;0,1256±0,0124;0,1263±0,0094;0,1298±0,0093;
mlnotmut_a;0,0770±0,0049;0,0904±0,0033;0,0889±0,0069;0,0963±0,0129;0,0941±0,0088;0,0990±0,0056;0,1009±0,0085;0,1067±0,0076;0,1066±0,0067;0,1136±0,0051;0,1140±0,0058;0,1191±0,0079;0,1190±0,0078;0,1227±0,0088;0,1219±0,0098;0,1220±0,0106;0,1192±0,0140;0,1256±0,0124;0,1263±0,0094;0,1298±0,0093;
mlnotmut_b;0,1008±0,0039;0,1099±0,0050;0,1188±0,0075;0,1337±0,0108;0,1340±0,0093;0,1372±0,0083;0,1416±0,0106;0,1499±0,0103;0,1501±0,0084;0,1503±0,0054;0,1542±0,0074;0,1530±0,0089;0,1590±0,0096;0,1610±0,0098;0,1608±0,0095;0,1602±0,0111;0,1579±0,0148;0,1618±0,0125;0,1616±0,0116;0,1672±0,0101;
