Algorithm;K = 1;K = 2;K = 3;K = 4;K = 5;K = 6;K = 7;K = 8;K = 9;K = 10;K = 11;;K = 13;K = 14;K = 15;K = 16;K = 17;K = 18;K = 19;K = 20
MLMUT -a;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121
MLMUT -b;0,4178;0,4178;0,4178;0,4178;0,4178;0,4178;0,4219;0,4219;0,4219;0,4219;0,4219;0,4178;0,4094;0,4094;0,4094;0,4094;0,4219;0,4094;0,4094;0,4094
MLnotMUT;0,4087;0,4251;0,4087;0,4070;0,4031;0,4737;0,4496;0,4580;0,4192;0,4580;0,4109;0,4538;0,4109;0,4151;0,4109;0,4151;0,4109;0,4151;0,4109;0,4151
MLnotMUT-a;0,4087;0,4251;0,4087;0,4070;0,4031;0,4737;0,4496;0,4580;0,4192;0,4580;0,4109;0,4538;0,4109;0,4151;0,4109;0,4151;0,4109;0,4151;0,4109;0,4151
MLnotMUT-b;0,4087;0,4089;0,4087;0,3808;0,4330;0,4580;0,4496;0,4580;0,4339;0,4580;0,4455;0,4538;0,4455;0,4298;0,4455;0,4746;0,4455;0,4746;0,4506;0,4538
;;;;;;;;;;;;;;;;;;;;
Algorithm;K = 1;K = 2;K = 3;K = 4;K = 5;K = 6;K = 7;K = 8;K = 9;K = 10;K = 11;K = 12;K = 13;K = 14;K = 15;K = 16;K = 17;K = 18;K = 19;K = 20
GeneralB;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219;0,4219
MLkNN;0,4087;0,5185;0,4695;0,4278;0,4058;0,4445;0,5170;0,4820;0,5099;0,4849;0,4384;0,3974;0,3641;0,4283;0,4170;0,4192;0,4317;0,4200;0,3972;0,4200
BRkNN;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121
BRkNN-a;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121
BRkNN-b;0,4178;0,4219;0,4219;0,4219;0,4219;0,4094;0,4094;0,4094;0,4094;0,4094;0,4094;0,4094;0,4094;0,4094;0,4094;0,4094;0,4094;0,4094;0,4094;0,4094
MLMUT;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121
MLMUT -a;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121;0,4121
MLMUT -b;0,4178;0,4178;0,4178;0,4178;0,4178;0,4178;0,4219;0,4219;0,4219;0,4219;0,4219;0,4178;0,4094;0,4094;0,4094;0,4094;0,4219;0,4094;0,4094;0,4094
MLnotMUT;0,4087;0,4251;0,4087;0,4070;0,4031;0,4737;0,4496;0,4580;0,4192;0,4580;0,4109;0,4538;0,4109;0,4151;0,4109;0,4151;0,4109;0,4151;0,4109;0,4151
MLnotMUT-a;0,4087;0,4251;0,4087;0,4070;0,4031;0,4737;0,4496;0,4580;0,4192;0,4580;0,4109;0,4538;0,4109;0,4151;0,4109;0,4151;0,4109;0,4151;0,4109;0,4151
MLnotMUT-b;0,4087;0,4089;0,4087;0,3808;0,4330;0,4580;0,4496;0,4580;0,4339;0,4580;0,4455;0,4538;0,4455;0,4298;0,4455;0,4746;0,4455;0,4746;0,4506;0,4538
