;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;
mLkNN;0,1737±0,0547;0,1864±0,0508;0,1947±0,0552;0,2094±0,0464;0,2429±0,0592;0,2491±0,0482;0,2493±0,0321;0,2630±0,0385;0,2445±0,0557;0,2613±0,0688;0,2987±0,0641;0,3025±0,0629;0,3001±0,0541;0,2522±0,0715;0,3105±0,0429;0,2944±0,0578;0,2961±0,0546;0,2750±0,0364;0,2955±0,0477;0,2960±0,0244;
bRkNN;0,1895±0,0332;0,2717±0,0747;0,3009±0,0703;0,3605±0,0583;0,3897±0,0590;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;
bRkNN_a;0,1895±0,0332;0,2717±0,0747;0,3009±0,0703;0,3605±0,0583;0,3897±0,0590;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;
bRkNN_b;0,2036±0,0448;0,2859±0,0827;0,3192±0,0799;0,3847±0,0382;0,3847±0,0500;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;0,4055±0,0419;
mlmut;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;
mlmut_a;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;0,1895±0,0332;
mlmut_b;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;0,2036±0,0448;
mlnotmut;0,1697±0,0476;0,2355±0,0737;0,1985±0,0477;0,2382±0,0534;0,2199±0,0230;0,2869±0,0518;0,2463±0,0314;0,2881±0,0251;0,2833±0,0424;0,2901±0,0139;0,2876±0,0684;0,3305±0,0991;0,3163±0,0782;0,3141±0,0725;0,3303±0,0876;0,3305±0,0857;0,3511±0,0863;0,3408±0,0903;0,3553±0,0773;0,3471±0,0653;
mlnotmut_a;0,1697±0,0476;0,2397±0,0741;0,1985±0,0477;0,2382±0,0534;0,2199±0,0230;0,2869±0,0518;0,2463±0,0314;0,2881±0,0251;0,2833±0,0424;0,2901±0,0139;0,2876±0,0684;0,3305±0,0991;0,3163±0,0782;0,3141±0,0725;0,3303±0,0876;0,3305±0,0857;0,3511±0,0863;0,3408±0,0903;0,3553±0,0773;0,3471±0,0653;
mlnotmut_b;0,1697±0,0476;0,2317±0,0709;0,2067±0,0486;0,2237±0,0433;0,2364±0,0274;0,2854±0,0333;0,2773±0,0280;0,2984±0,0517;0,3060±0,0471;0,2901±0,0139;0,3120±0,0702;0,3347±0,1017;0,3474±0,0642;0,3388±0,0812;0,3430±0,0734;0,3534±0,0848;0,3365±0,0826;0,3634±0,0703;0,3477±0,0726;0,3305±0,0716;
