;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;
mLkNN;0,1532±0,0480;0,1436±0,0200;0,1559±0,0282;0,1950±0,0501;0,2159±0,0466;0,2241±0,0544;0,2536±0,0194;0,2866±0,0482;0,2555±0,0468;0,2490±0,0480;0,2800±0,0745;0,2471±0,0492;0,3359±0,0375;0,2966±0,0394;0,2884±0,0252;0,2346±0,0203;0,2866±0,0327;0,2511±0,0169;0,2638±0,0236;0,3230±0,0272;
bRkNN;0,1716±0,0499;0,2577±0,0781;0,2782±0,0768;0,3272±0,0534;0,3480±0,0587;0,3892±0,0437;0,3975±0,0461;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;
bRkNN_a;0,1695±0,0462;0,2556±0,0773;0,2782±0,0768;0,3272±0,0534;0,3480±0,0587;0,3892±0,0437;0,3975±0,0461;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;0,4097±0,0374;
bRkNN_b;0,1757±0,0396;0,2473±0,0855;0,2947±0,0758;0,3458±0,0408;0,3521±0,0654;0,3870±0,0518;0,3953±0,0517;0,4053±0,0473;0,4053±0,0473;0,4053±0,0473;0,4053±0,0473;0,4053±0,0473;0,4053±0,0473;0,4053±0,0473;0,4053±0,0473;0,4053±0,0473;0,4053±0,0473;0,4053±0,0473;0,4053±0,0473;0,4053±0,0473;
mlmut;0,1653±0,0392;0,1716±0,0499;0,1612±0,0328;0,1827±0,0252;0,1827±0,0252;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;
mlmut_a;0,1653±0,0392;0,1695±0,0462;0,1612±0,0328;0,1827±0,0252;0,1827±0,0252;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;0,1906±0,0374;
mlmut_b;0,1757±0,0396;0,1757±0,0396;0,1820±0,0461;0,1993±0,0213;0,2055±0,0292;0,2094±0,0327;0,2115±0,0316;0,2115±0,0316;0,2115±0,0316;0,2115±0,0316;0,2115±0,0316;0,2115±0,0316;0,2115±0,0316;0,2115±0,0316;0,2074±0,0380;0,2074±0,0380;0,2074±0,0380;0,2074±0,0380;0,2074±0,0380;0,2074±0,0380;
mlnotmut;0,1456±0,0251;0,2033±0,0331;0,1925±0,0424;0,2240±0,0276;0,1938±0,0243;0,2219±0,0283;0,2071±0,0333;0,2463±0,0277;0,2730±0,0455;0,2737±0,0429;0,2960±0,0607;0,2897±0,0720;0,3208±0,0676;0,3083±0,0767;0,3020±0,0841;0,3189±0,0803;0,3332±0,0945;0,3600±0,0905;0,3599±0,1023;0,3788±0,1001;
mlnotmut_a;0,1435±0,0246;0,2033±0,0331;0,1925±0,0424;0,2240±0,0276;0,1938±0,0243;0,2219±0,0283;0,2071±0,0333;0,2463±0,0277;0,2730±0,0455;0,2737±0,0429;0,2960±0,0607;0,2897±0,0720;0,3208±0,0676;0,3083±0,0767;0,3020±0,0841;0,3189±0,0803;0,3332±0,0945;0,3600±0,0905;0,3599±0,1023;0,3788±0,1001;
mlnotmut_b;0,1560±0,0234;0,1978±0,0288;0,2153±0,0478;0,2284±0,0330;0,2102±0,0353;0,2203±0,0225;0,2154±0,0312;0,2566±0,0290;0,2752±0,0390;0,2614±0,0370;0,3021±0,0618;0,2854±0,0677;0,3188±0,0644;0,3188±0,0853;0,2979±0,0893;0,3232±0,0959;0,3352±0,0889;0,3599±0,0882;0,3599±0,1015;0,3477±0,1192;
