;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;
mLkNN;0,0609±0,0132;0,0609±0,0132;0,0614±0,0133;0,0619±0,0138;0,0618±0,0133;0,0633±0,0142;0,0637±0,0141;0,0634±0,0156;0,0643±0,0148;0,0674±0,0170;0,0672±0,0178;0,0722±0,0195;0,0713±0,0209;0,0738±0,0209;0,0754±0,0197;0,0707±0,0174;0,0698±0,0163;0,0717±0,0172;0,0709±0,0164;0,0738±0,0164;
bRkNN;0,0557±0,0091;0,0872±0,0119;0,1218±0,0160;0,1369±0,0137;0,1535±0,0206;0,1693±0,0189;0,1763±0,0207;0,1867±0,0196;0,1909±0,0170;0,2001±0,0169;0,2045±0,0177;0,2118±0,0195;0,2149±0,0199;0,2162±0,0200;0,2162±0,0200;0,2172±0,0182;0,2172±0,0182;0,2188±0,0188;0,2231±0,0225;0,2248±0,0209;
bRkNN_a;0,0557±0,0091;0,0872±0,0119;0,1218±0,0160;0,1369±0,0137;0,1535±0,0206;0,1693±0,0189;0,1763±0,0207;0,1867±0,0196;0,1909±0,0170;0,2001±0,0169;0,2045±0,0177;0,2118±0,0195;0,2149±0,0199;0,2162±0,0200;0,2162±0,0200;0,2172±0,0182;0,2172±0,0182;0,2188±0,0188;0,2231±0,0225;0,2248±0,0209;
bRkNN_b;0,0592±0,0136;0,0899±0,0153;0,1199±0,0193;0,1364±0,0157;0,1537±0,0203;0,1678±0,0187;0,1766±0,0218;0,1871±0,0209;0,1903±0,0189;0,1988±0,0200;0,2045±0,0226;0,2095±0,0247;0,2124±0,0249;0,2133±0,0250;0,2133±0,0250;0,2133±0,0250;0,2133±0,0250;0,2150±0,0262;0,2174±0,0278;0,2185±0,0259;
mlmut;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;
mlmut_a;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;0,0557±0,0091;
mlmut_b;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;0,0592±0,0136;
mlnotmut;0,0609±0,0132;0,1049±0,0189;0,0837±0,0111;0,0977±0,0143;0,0937±0,0180;0,1138±0,0151;0,1105±0,0190;0,1255±0,0187;0,1064±0,0235;0,1189±0,0220;0,1176±0,0177;0,1185±0,0194;0,1134±0,0211;0,1150±0,0247;0,1187±0,0237;0,1230±0,0254;0,1258±0,0229;0,1309±0,0232;0,1357±0,0189;0,1398±0,0226;
mlnotmut_a;0,0609±0,0132;0,1056±0,0192;0,0837±0,0111;0,0975±0,0143;0,0937±0,0180;0,1147±0,0157;0,1105±0,0190;0,1256±0,0187;0,1064±0,0235;0,1189±0,0220;0,1176±0,0177;0,1185±0,0194;0,1134±0,0211;0,1150±0,0247;0,1187±0,0237;0,1230±0,0254;0,1258±0,0229;0,1309±0,0232;0,1357±0,0189;0,1398±0,0226;
mlnotmut_b;0,0609±0,0132;0,0945±0,0146;0,0847±0,0113;0,0896±0,0166;0,0982±0,0161;0,1106±0,0142;0,1144±0,0182;0,1218±0,0190;0,1130±0,0222;0,1178±0,0218;0,1226±0,0181;0,1200±0,0211;0,1211±0,0204;0,1172±0,0239;0,1230±0,0241;0,1252±0,0244;0,1295±0,0235;0,1331±0,0215;0,1375±0,0239;0,1428±0,0234;
