;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;
mLkNN;0,3906±0,0557;0,3906±0,0557;0,3906±0,0557;0,4461±0,0611;0,4725±0,0399;0,5163±0,0379;0,4688±0,0504;0,4713±0,0512;0,5027±0,0451;0,3948±0,0422;0,4296±0,0625;0,4380±0,0804;0,4148±0,0556;0,4442±0,0553;0,4401±0,0631;0,4195±0,0536;0,4266±0,0580;0,4383±0,0571;0,4305±0,0598;0,4179±0,0221;
bRkNN;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;
bRkNN_a;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;
bRkNN_b;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;
mlmut;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;
mlmut_a;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;0,3662±0,0146;
mlmut_b;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;
mlnotmut;0,3906±0,0557;0,4508±0,0421;0,3988±0,0510;0,3953±0,0321;0,3745±0,0198;0,3864±0,0156;0,3745±0,0198;0,4109±0,0292;0,3737±0,0190;0,3856±0,0323;0,3745±0,0198;0,3745±0,0198;0,3732±0,0187;0,3745±0,0198;0,3732±0,0187;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;
mlnotmut_a;0,3906±0,0557;0,4508±0,0421;0,3988±0,0510;0,3953±0,0321;0,3745±0,0198;0,3864±0,0156;0,3745±0,0198;0,4109±0,0292;0,3737±0,0190;0,3856±0,0323;0,3745±0,0198;0,3745±0,0198;0,3732±0,0187;0,3745±0,0198;0,3732±0,0187;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;
mlnotmut_b;0,3906±0,0557;0,4275±0,0348;0,3988±0,0510;0,3824±0,0231;0,3745±0,0198;0,3786±0,0172;0,3745±0,0198;0,4031±0,0247;0,3737±0,0190;0,3766±0,0231;0,3745±0,0198;0,3745±0,0198;0,3725±0,0185;0,3745±0,0198;0,3725±0,0185;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;
