;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;
mLkNN;0,1438±0,0121;0,1088±0,0148;0,0872±0,0123;0,0855±0,0148;0,0818±0,0128;0,0899±0,0173;0,0877±0,0170;0,0937±0,0164;0,0944±0,0119;0,0913±0,0120;0,0934±0,0116;0,0941±0,0136;0,0991±0,0144;0,1001±0,0140;0,0952±0,0125;0,0950±0,0085;0,0971±0,0100;0,0989±0,0090;0,0997±0,0131;0,1004±0,0136;
bRkNN;0,0810±0,0204;0,1017±0,0213;0,1138±0,0226;0,1272±0,0234;0,1416±0,0258;0,1583±0,0236;0,1678±0,0211;0,1711±0,0228;0,1750±0,0200;0,1786±0,0207;0,1815±0,0200;0,1922±0,0197;0,2021±0,0243;0,2050±0,0236;0,2065±0,0235;0,2107±0,0224;0,2206±0,0228;0,2256±0,0222;0,2313±0,0234;0,2337±0,0226;
bRkNN_a;0,0810±0,0204;0,1017±0,0213;0,1138±0,0226;0,1272±0,0234;0,1416±0,0258;0,1583±0,0236;0,1678±0,0211;0,1711±0,0228;0,1750±0,0200;0,1786±0,0207;0,1815±0,0200;0,1922±0,0197;0,2021±0,0243;0,2050±0,0236;0,2065±0,0235;0,2107±0,0224;0,2206±0,0228;0,2256±0,0222;0,2313±0,0234;0,2337±0,0226;
bRkNN_b;0,0754±0,0175;0,0939±0,0159;0,1056±0,0178;0,1170±0,0178;0,1291±0,0197;0,1434±0,0181;0,1537±0,0160;0,1569±0,0172;0,1622±0,0163;0,1666±0,0187;0,1712±0,0174;0,1818±0,0162;0,1915±0,0187;0,1950±0,0177;0,1972±0,0175;0,2011±0,0146;0,2086±0,0150;0,2126±0,0151;0,2166±0,0160;0,2186±0,0155;
mlmut;0,0998±0,0242;0,0876±0,0217;0,0883±0,0208;0,0826±0,0215;0,0817±0,0213;0,0825±0,0223;0,0818±0,0214;0,0833±0,0225;0,0817±0,0213;0,0810±0,0204;0,0817±0,0213;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;
mlmut_a;0,0998±0,0242;0,0876±0,0217;0,0883±0,0208;0,0826±0,0215;0,0817±0,0213;0,0825±0,0223;0,0818±0,0214;0,0833±0,0225;0,0817±0,0213;0,0810±0,0204;0,0817±0,0213;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;0,0810±0,0204;
mlmut_b;0,0925±0,0208;0,0859±0,0163;0,0874±0,0158;0,0814±0,0160;0,0807±0,0166;0,0792±0,0174;0,0787±0,0164;0,0788±0,0184;0,0772±0,0175;0,0755±0,0177;0,0766±0,0183;0,0754±0,0175;0,0754±0,0175;0,0754±0,0175;0,0754±0,0175;0,0754±0,0175;0,0754±0,0175;0,0754±0,0175;0,0754±0,0175;0,0754±0,0175;
mlnotmut;0,1025±0,0144;0,1218±0,0184;0,1129±0,0287;0,1296±0,0232;0,1166±0,0259;0,1276±0,0309;0,1033±0,0217;0,1128±0,0246;0,1162±0,0227;0,1221±0,0281;0,1241±0,0270;0,1317±0,0283;0,1309±0,0264;0,1366±0,0291;0,1355±0,0248;0,1409±0,0247;0,1381±0,0238;0,1422±0,0254;0,1435±0,0238;0,1478±0,0250;
mlnotmut_a;0,1025±0,0144;0,1223±0,0183;0,1129±0,0287;0,1297±0,0231;0,1166±0,0259;0,1277±0,0310;0,1033±0,0217;0,1128±0,0246;0,1162±0,0227;0,1221±0,0281;0,1241±0,0270;0,1317±0,0283;0,1309±0,0264;0,1366±0,0291;0,1355±0,0248;0,1409±0,0247;0,1381±0,0238;0,1422±0,0254;0,1435±0,0238;0,1478±0,0250;
mlnotmut_b;0,1044±0,0139;0,1159±0,0203;0,1191±0,0228;0,1259±0,0201;0,1244±0,0260;0,1212±0,0245;0,1124±0,0208;0,1181±0,0230;0,1219±0,0221;0,1282±0,0247;0,1313±0,0224;0,1341±0,0271;0,1374±0,0258;0,1408±0,0254;0,1435±0,0238;0,1464±0,0245;0,1465±0,0208;0,1478±0,0220;0,1493±0,0212;0,1526±0,0227;
