;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;0,3192±0,0171;
mLkNN;0,1056±0,0122;0,0959±0,0158;0,0760±0,0154;0,0809±0,0170;0,0937±0,0152;0,0873±0,0173;0,0936±0,0164;0,0901±0,0172;0,0932±0,0137;0,0981±0,0134;0,0995±0,0171;0,0943±0,0175;0,0994±0,0149;0,0939±0,0166;0,0999±0,0150;0,1011±0,0159;0,1046±0,0153;0,1024±0,0151;0,1055±0,0145;0,1106±0,0148;
bRkNN;0,0684±0,0153;0,0877±0,0168;0,0996±0,0183;0,1118±0,0184;0,1220±0,0223;0,1365±0,0223;0,1465±0,0208;0,1519±0,0229;0,1550±0,0195;0,1594±0,0203;0,1618±0,0201;0,1731±0,0204;0,1821±0,0255;0,1868±0,0248;0,1877±0,0250;0,1927±0,0212;0,2014±0,0247;0,2055±0,0234;0,2110±0,0242;0,2118±0,0235;
bRkNN_a;0,0684±0,0153;0,0877±0,0168;0,0996±0,0183;0,1118±0,0184;0,1220±0,0223;0,1365±0,0223;0,1465±0,0208;0,1519±0,0229;0,1550±0,0195;0,1594±0,0203;0,1618±0,0201;0,1731±0,0204;0,1821±0,0255;0,1868±0,0248;0,1877±0,0250;0,1927±0,0212;0,2014±0,0247;0,2055±0,0234;0,2110±0,0242;0,2118±0,0235;
bRkNN_b;0,0701±0,0154;0,0900±0,0165;0,1021±0,0181;0,1137±0,0179;0,1238±0,0218;0,1392±0,0216;0,1496±0,0209;0,1544±0,0229;0,1566±0,0203;0,1601±0,0208;0,1626±0,0210;0,1734±0,0212;0,1823±0,0258;0,1867±0,0252;0,1880±0,0253;0,1932±0,0221;0,2032±0,0238;0,2086±0,0225;0,2147±0,0236;0,2173±0,0218;
mlmut;0,0959±0,0185;0,0846±0,0115;0,0810±0,0124;0,0799±0,0130;0,0760±0,0129;0,0738±0,0124;0,0718±0,0128;0,0708±0,0133;0,0706±0,0116;0,0695±0,0130;0,0709±0,0127;0,0709±0,0132;0,0716±0,0130;0,0701±0,0140;0,0706±0,0140;0,0723±0,0148;0,0724±0,0145;0,0717±0,0150;0,0728±0,0143;0,0722±0,0143;
mlmut_a;0,0959±0,0185;0,0844±0,0112;0,0810±0,0124;0,0799±0,0130;0,0760±0,0129;0,0738±0,0124;0,0718±0,0128;0,0708±0,0133;0,0706±0,0116;0,0695±0,0130;0,0709±0,0127;0,0709±0,0132;0,0716±0,0130;0,0701±0,0140;0,0705±0,0140;0,0722±0,0148;0,0724±0,0145;0,0717±0,0150;0,0728±0,0143;0,0722±0,0143;
mlmut_b;0,0959±0,0186;0,0908±0,0091;0,0906±0,0114;0,0854±0,0114;0,0821±0,0114;0,0789±0,0106;0,0774±0,0122;0,0748±0,0109;0,0742±0,0122;0,0742±0,0119;0,0748±0,0120;0,0752±0,0119;0,0736±0,0135;0,0736±0,0140;0,0733±0,0142;0,0740±0,0141;0,0745±0,0142;0,0743±0,0142;0,0755±0,0143;0,0755±0,0144;
mlnotmut;0,0678±0,0137;0,0817±0,0145;0,0769±0,0181;0,0861±0,0184;0,0872±0,0177;0,0945±0,0191;0,0961±0,0191;0,1045±0,0171;0,1021±0,0180;0,1070±0,0203;0,1069±0,0197;0,1123±0,0207;0,1161±0,0222;0,1222±0,0204;0,1238±0,0182;0,1257±0,0188;0,1285±0,0186;0,1340±0,0175;0,1338±0,0193;0,1375±0,0187;
mlnotmut_a;0,0679±0,0137;0,0815±0,0147;0,0770±0,0182;0,0861±0,0184;0,0872±0,0177;0,0944±0,0195;0,0961±0,0191;0,1043±0,0173;0,1021±0,0180;0,1068±0,0205;0,1069±0,0197;0,1123±0,0207;0,1161±0,0222;0,1222±0,0204;0,1238±0,0182;0,1257±0,0188;0,1284±0,0186;0,1339±0,0175;0,1338±0,0193;0,1375±0,0187;
mlnotmut_b;0,0903±0,0111;0,1016±0,0138;0,1048±0,0131;0,1151±0,0124;0,1204±0,0124;0,1290±0,0146;0,1322±0,0165;0,1364±0,0184;0,1376±0,0163;0,1419±0,0164;0,1433±0,0173;0,1506±0,0181;0,1534±0,0188;0,1559±0,0184;0,1585±0,0166;0,1610±0,0181;0,1623±0,0170;0,1669±0,0195;0,1681±0,0190;0,1706±0,0190;
