;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;
mLkNN;0,1584±0,0304;0,1564±0,0328;0,1893±0,0154;0,1728±0,0315;0,2037±0,0307;0,1996±0,0145;0,2819±0,0772;0,2881±0,0191;0,2407±0,0353;0,2737±0,0210;0,2469±0,0231;0,2243±0,0378;0,3025±0,0349;0,2819±0,0555;0,2860±0,0606;0,2963±0,0439;0,3004±0,0601;0,2840±0,0667;0,2984±0,0162;0,3066±0,0758;
bRkNN;0,2016±0,0597;0,2901±0,0182;0,3107±0,0127;0,3272±0,0050;0,3683±0,0127;0,3930±0,0162;0,3930±0,0162;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;
bRkNN_a;0,2016±0,0597;0,2901±0,0182;0,3107±0,0127;0,3272±0,0050;0,3683±0,0127;0,3930±0,0162;0,3930±0,0162;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;0,4012±0,0050;
bRkNN_b;0,2037±0,0611;0,2901±0,0182;0,3210±0,0267;0,3313±0,0077;0,3765±0,0087;0,3971±0,0191;0,3971±0,0191;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;
mlmut;0,1852±0,0512;0,1852±0,0512;0,1852±0,0512;0,1872±0,0517;0,1914±0,0533;0,2016±0,0391;0,2016±0,0391;0,2016±0,0391;0,2016±0,0391;0,2016±0,0391;0,2058±0,0410;0,2078±0,0382;0,2078±0,0382;0,2078±0,0382;0,2078±0,0382;0,2078±0,0382;0,2078±0,0382;0,2058±0,0410;0,2058±0,0410;0,2058±0,0410;
mlmut_a;0,1852±0,0512;0,1852±0,0512;0,1852±0,0512;0,1872±0,0517;0,1914±0,0533;0,2016±0,0391;0,2016±0,0391;0,2016±0,0391;0,2016±0,0391;0,2016±0,0391;0,2058±0,0410;0,2078±0,0382;0,2078±0,0382;0,2078±0,0382;0,2078±0,0382;0,2078±0,0382;0,2078±0,0382;0,2058±0,0410;0,2058±0,0410;0,2058±0,0410;
mlmut_b;0,1872±0,0534;0,1872±0,0534;0,1872±0,0534;0,1934±0,0566;0,2037±0,0613;0,2160±0,0439;0,2160±0,0439;0,2160±0,0439;0,2160±0,0439;0,2160±0,0439;0,2202±0,0466;0,2243±0,0407;0,2243±0,0407;0,2181±0,0372;0,2181±0,0372;0,2181±0,0372;0,2181±0,0372;0,2202±0,0343;0,2202±0,0343;0,2202±0,0343;
mlnotmut;0,1646±0,0484;0,2449±0,0420;0,2325±0,0743;0,2593±0,0613;0,2407±0,0811;0,2778±0,0413;0,3066±0,0429;0,3004±0,0505;0,3189±0,0468;0,3292±0,0429;0,3477±0,0343;0,3498±0,0328;0,3519±0,0315;0,3374±0,0336;0,3519±0,0202;0,3560±0,0210;0,3477±0,0308;0,3539±0,0336;0,3354±0,0468;0,3436±0,0304;
mlnotmut_a;0,1646±0,0484;0,2407±0,0363;0,2325±0,0743;0,2593±0,0613;0,2407±0,0811;0,2778±0,0413;0,3066±0,0429;0,3004±0,0505;0,3189±0,0468;0,3292±0,0429;0,3477±0,0343;0,3498±0,0328;0,3519±0,0315;0,3374±0,0336;0,3519±0,0202;0,3560±0,0210;0,3477±0,0308;0,3539±0,0336;0,3354±0,0468;0,3436±0,0304;
mlnotmut_b;0,1667±0,0454;0,2222±0,0231;0,2325±0,0695;0,2469±0,0545;0,2387±0,0755;0,2716±0,0481;0,3086±0,0431;0,2922±0,0539;0,3189±0,0468;0,3313±0,0457;0,3477±0,0343;0,3395±0,0331;0,3601±0,0238;0,3436±0,0328;0,3560±0,0249;0,3519±0,0182;0,3436±0,0304;0,3560±0,0259;0,3395±0,0486;0,3436±0,0304;
