;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;
mLkNN;0,1996±0,0227;0,1996±0,0227;0,2346±0,0087;0,2099±0,0175;0,2305±0,0127;0,2366±0,0145;0,2819±0,0127;0,2695±0,0191;0,2593±0,0133;0,2531±0,0087;0,2613±0,0233;0,2613±0,0127;0,2531±0,0307;0,2572±0,0233;0,2510±0,0308;0,2778±0,0462;0,2798±0,0320;0,2757±0,0116;0,3436±0,0116;0,3230±0,0029;
bRkNN;0,2140±0,0295;0,2860±0,0358;0,3148±0,0262;0,3395±0,0050;0,3951±0,0182;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;
bRkNN_a;0,2140±0,0295;0,2860±0,0358;0,3148±0,0262;0,3395±0,0050;0,3951±0,0182;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;
bRkNN_b;0,2531±0,0572;0,3230±0,0191;0,3395±0,0281;0,3642±0,0133;0,4012±0,0050;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;
mlmut;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;
mlmut_a;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;0,2140±0,0295;
mlmut_b;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;0,2531±0,0572;
mlnotmut;0,1996±0,0227;0,2572±0,0440;0,2531±0,0782;0,3374±0,0606;0,3066±0,0699;0,3374±0,0544;0,3189±0,0859;0,3374±0,0715;0,3333±0,0782;0,3663±0,0515;0,3498±0,0358;0,3765±0,0394;0,3683±0,0372;0,4095±0,0510;0,3663±0,0423;0,4136±0,0619;0,4053±0,0757;0,4074±0,0833;0,4012±0,0892;0,3992±0,1033;
mlnotmut_a;0,1996±0,0227;0,2531±0,0400;0,2531±0,0782;0,3374±0,0606;0,3066±0,0699;0,3374±0,0544;0,3189±0,0859;0,3374±0,0715;0,3333±0,0782;0,3663±0,0515;0,3498±0,0358;0,3765±0,0394;0,3683±0,0372;0,4095±0,0510;0,3663±0,0423;0,4136±0,0619;0,4053±0,0757;0,4074±0,0833;0,4012±0,0892;0,3992±0,1033;
mlnotmut_b;0,1996±0,0227;0,2243±0,0505;0,2531±0,0782;0,2984±0,0695;0,3107±0,0720;0,3066±0,0807;0,3189±0,0859;0,3313±0,0665;0,3189±0,0566;0,3765±0,0572;0,3807±0,0457;0,3683±0,0278;0,3930±0,0539;0,4177±0,0457;0,4053±0,0544;0,4053±0,0544;0,4177±0,0566;0,3930±0,0965;0,4053±0,0859;0,4177±0,0734;
