;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;
mLkNN;0,3971±0,0029;0,4856±0,0720;0,3930±0,0058;0,4156±0,0191;0,3992±0,0105;0,4012±0,0267;0,4877±0,0761;0,4342±0,0706;0,5144±0,0479;0,4568±0,0787;0,4506±0,0568;0,4444±0,0413;0,4280±0,0829;0,3909±0,0328;0,3930±0,0328;0,4156±0,0154;0,4136±0,0182;0,4506±0,0353;0,3951±0,0353;0,4527±0,0588;
bRkNN;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;
bRkNN_a;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;
bRkNN_b;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;
mlmut;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;
mlmut_a;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;0,3971±0,0162;
mlmut_b;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;0,4053±0,0077;
mlnotmut;0,3971±0,0029;0,4403±0,0259;0,4547±0,0638;0,4753±0,0448;0,4588±0,0601;0,4671±0,0539;0,4465±0,0720;0,4547±0,0638;0,4465±0,0720;0,4588±0,0601;0,4218±0,0295;0,4588±0,0601;0,4218±0,0295;0,4588±0,0601;0,4156±0,0336;0,4588±0,0601;0,4527±0,0658;0,4527±0,0658;0,4465±0,0720;0,4465±0,0720;
mlnotmut_a;0,3971±0,0029;0,4403±0,0259;0,4547±0,0638;0,4753±0,0448;0,4588±0,0601;0,4671±0,0539;0,4465±0,0720;0,4547±0,0638;0,4465±0,0720;0,4588±0,0601;0,4218±0,0295;0,4588±0,0601;0,4218±0,0295;0,4588±0,0601;0,4156±0,0336;0,4588±0,0601;0,4527±0,0658;0,4527±0,0658;0,4465±0,0720;0,4465±0,0720;
mlnotmut_b;0,3971±0,0029;0,4136±0,0315;0,4547±0,0638;0,4177±0,0525;0,4588±0,0601;0,4383±0,0811;0,4383±0,0811;0,4547±0,0638;0,4012±0,0481;0,4588±0,0601;0,4588±0,0601;0,4588±0,0601;0,4588±0,0601;0,4588±0,0601;0,4588±0,0601;0,4588±0,0601;0,4588±0,0601;0,4630±0,0568;0,4588±0,0601;0,4671±0,0539;
