;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;0,4139±0,0590;
mLkNN;0,3965±0,0540;0,4829±0,0570;0,4664±0,0662;0,4148±0,0755;0,4151±0,0925;0,4545±0,0429;0,4985±0,0387;0,5153±0,0444;0,4808±0,1240;0,4344±0,0711;0,4432±0,0806;0,4219±0,0400;0,3877±0,0559;0,4463±0,0880;0,4545±0,0701;0,4234±0,0478;0,4185±0,0488;0,4322±0,0524;0,4252±0,0637;0,4020±0,0750;
bRkNN;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;
bRkNN_a;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;
bRkNN_b;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;
mlmut;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;
mlmut_a;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;0,4096±0,0316;
mlmut_b;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;0,4020±0,0782;
mlnotmut;0,3965±0,0540;0,4350±0,0739;0,3965±0,0540;0,3926±0,0575;0,4203±0,0506;0,4560±0,0841;0,4182±0,0543;0,4203±0,0506;0,4203±0,0506;0,3965±0,0540;0,4096±0,0578;0,4203±0,0506;0,4203±0,0506;0,3965±0,0540;0,4096±0,0578;0,4182±0,0543;0,4096±0,0578;0,4496±0,0940;0,4161±0,0596;0,4310±0,0508;
mlnotmut_a;0,3965±0,0540;0,4350±0,0739;0,3965±0,0540;0,3926±0,0575;0,4203±0,0506;0,4560±0,0841;0,4182±0,0543;0,4203±0,0506;0,4203±0,0506;0,3965±0,0540;0,4096±0,0578;0,4203±0,0506;0,4203±0,0506;0,3965±0,0540;0,4096±0,0578;0,4182±0,0543;0,4096±0,0578;0,4496±0,0940;0,4161±0,0596;0,4310±0,0508;
mlnotmut_b;0,3965±0,0540;0,4307±0,0667;0,3965±0,0540;0,3642±0,0483;0,4237±0,0654;0,4560±0,0841;0,4481±0,0806;0,4481±0,0806;0,3965±0,0540;0,3965±0,0540;0,3880±0,0511;0,4362±0,0695;0,3965±0,0540;0,3965±0,0540;0,3880±0,0511;0,4319±0,0762;0,4475±0,0882;0,4518±0,0912;0,4689±0,0697;0,4490±0,0633;
