;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;
mLkNN;0,3510±0,0353;0,3616±0,0495;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3309±0,0104;0,4350±0,0643;0,4054±0,0592;0,3941±0,0453;0,4053±0,0252;0,4359±0,0800;0,4190±0,0598;0,4112±0,0199;0,4139±0,0270;0,4114±0,0167;0,4010±0,0661;0,4192±0,0894;0,4300±0,0712;0,4128±0,0438;0,4065±0,0099;
bRkNN;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;
bRkNN_a;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;
bRkNN_b;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;
mlmut;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;
mlmut_a;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;
mlmut_b;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;
mlnotmut;0,3510±0,0353;0,4372±0,0421;0,3828±0,0573;0,4053±0,0488;0,4017±0,0489;0,4796±0,0113;0,4017±0,0489;0,4541±0,0391;0,3943±0,0236;0,4317±0,0252;0,3490±0,0096;0,3321±0,0146;0,3285±0,0133;0,3285±0,0133;0,3285±0,0133;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3285±0,0133;0,3321±0,0146;
mlnotmut_a;0,3510±0,0353;0,4372±0,0421;0,3828±0,0573;0,4053±0,0488;0,4017±0,0489;0,4796±0,0113;0,4017±0,0489;0,4541±0,0391;0,3943±0,0236;0,4317±0,0252;0,3490±0,0096;0,3321±0,0146;0,3285±0,0133;0,3285±0,0133;0,3285±0,0133;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3285±0,0133;0,3321±0,0146;
mlnotmut_b;0,3510±0,0353;0,3993±0,0203;0,3828±0,0573;0,3757±0,0631;0,4017±0,0489;0,4307±0,0248;0,3993±0,0459;0,4114±0,0372;0,4040±0,0112;0,3949±0,0514;0,3586±0,0231;0,3321±0,0146;0,3321±0,0146;0,3393±0,0163;0,3345±0,0112;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3514±0,0129;
