;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;
mLkNN;0,2074±0,0217;0,2278±0,0054;0,2506±0,0211;0,2554±0,0179;0,2483±0,0081;0,2625±0,0115;0,2421±0,0318;0,2781±0,0049;0,3001±0,0329;0,2806±0,0200;0,2759±0,0171;0,2686±0,0074;0,2544±0,0243;0,2588±0,0176;0,2757±0,0108;0,2636±0,0168;0,2746±0,0060;0,2760±0,0249;0,2856±0,0194;0,2757±0,0110;
bRkNN;0,1931±0,0239;0,2543±0,0200;0,2626±0,0074;0,2842±0,0074;0,2914±0,0117;0,3176±0,0120;0,3273±0,0168;0,3297±0,0180;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;
bRkNN_a;0,1919±0,0253;0,2531±0,0183;0,2626±0,0074;0,2842±0,0074;0,2914±0,0117;0,3176±0,0120;0,3273±0,0168;0,3297±0,0180;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;
bRkNN_b;0,1895±0,0281;0,2471±0,0174;0,2614±0,0105;0,2889±0,0070;0,2986±0,0133;0,3188±0,0136;0,3273±0,0168;0,3297±0,0180;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;
mlmut;0,1907±0,0296;0,2003±0,0240;0,1979±0,0356;0,2003±0,0311;0,1990±0,0325;0,1990±0,0325;0,1966±0,0296;0,1966±0,0296;0,1966±0,0296;0,1966±0,0296;0,1966±0,0296;0,2003±0,0252;0,2003±0,0252;0,2003±0,0252;0,2003±0,0252;0,2003±0,0252;0,2003±0,0252;0,2003±0,0252;0,2015±0,0238;0,2015±0,0238;
mlmut_a;0,1907±0,0296;0,1991±0,0253;0,1979±0,0356;0,2003±0,0311;0,1990±0,0325;0,1990±0,0325;0,1966±0,0296;0,1966±0,0296;0,1966±0,0296;0,1966±0,0296;0,1966±0,0296;0,2003±0,0252;0,2003±0,0252;0,2003±0,0252;0,2003±0,0252;0,2003±0,0252;0,2003±0,0252;0,2003±0,0252;0,2015±0,0238;0,2015±0,0238;
mlmut_b;0,1907±0,0296;0,1967±0,0281;0,1979±0,0297;0,2026±0,0325;0,2038±0,0326;0,2026±0,0329;0,2026±0,0329;0,2038±0,0332;0,2050±0,0335;0,2050±0,0335;0,2050±0,0335;0,2086±0,0286;0,2098±0,0270;0,2098±0,0270;0,2110±0,0254;0,2110±0,0254;0,2110±0,0254;0,2110±0,0254;0,2110±0,0254;0,2110±0,0254;
mlnotmut;0,2243±0,0139;0,2828±0,0260;0,2444±0,0198;0,2863±0,0301;0,2664±0,0309;0,2904±0,0286;0,3192±0,0484;0,3047±0,0259;0,3022±0,0067;0,3046±0,0056;0,3057±0,0113;0,3058±0,0151;0,3045±0,0263;0,3116±0,0286;0,3141±0,0193;0,3141±0,0252;0,3177±0,0181;0,3189±0,0185;0,3213±0,0133;0,3177±0,0202;
mlnotmut_a;0,2231±0,0143;0,2757±0,0215;0,2444±0,0198;0,2875±0,0314;0,2664±0,0309;0,2916±0,0275;0,3192±0,0484;0,3059±0,0248;0,3022±0,0067;0,3046±0,0056;0,3057±0,0113;0,3058±0,0151;0,3045±0,0263;0,3116±0,0286;0,3141±0,0193;0,3141±0,0252;0,3177±0,0181;0,3189±0,0185;0,3213±0,0133;0,3177±0,0202;
mlnotmut_b;0,2217±0,0238;0,2722±0,0108;0,2612±0,0285;0,2961±0,0121;0,2842±0,0092;0,3108±0,0300;0,3288±0,0350;0,3216±0,0226;0,3081±0,0136;0,3046±0,0056;0,3081±0,0079;0,3045±0,0130;0,3021±0,0269;0,3045±0,0181;0,3093±0,0113;0,3105±0,0181;0,3189±0,0154;0,3176±0,0224;0,3225±0,0118;0,3200±0,0292;
