;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;
mLkNN;0,1780±0,0516;0,1643±0,0195;0,1963±0,0581;0,2094±0,0504;0,2467±0,0324;0,2442±0,0474;0,2798±0,0444;0,2842±0,0219;0,2652±0,0517;0,2653±0,0595;0,2857±0,0248;0,2675±0,0413;0,3364±0,0499;0,3029±0,0597;0,2991±0,0635;0,2489±0,0502;0,3197±0,0488;0,2416±0,0551;0,3280±0,0395;0,3142±0,0731;
bRkNN;0,2110±0,0778;0,2766±0,0715;0,3126±0,0393;0,3376±0,0171;0,3459±0,0123;0,3872±0,0213;0,4122±0,0351;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;
bRkNN_a;0,2089±0,0754;0,2745±0,0684;0,3126±0,0393;0,3376±0,0171;0,3459±0,0123;0,3872±0,0213;0,4122±0,0351;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;
bRkNN_b;0,2006±0,0708;0,2703±0,0624;0,3146±0,0401;0,3417±0,0132;0,3500±0,0102;0,3913±0,0217;0,4142±0,0320;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;
mlmut;0,2048±0,0711;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;0,2110±0,0778;
mlmut_a;0,2048±0,0711;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;0,2089±0,0754;
mlmut_b;0,2006±0,0708;0,2006±0,0708;0,2006±0,0708;0,2006±0,0708;0,2006±0,0708;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;0,2027±0,0728;
mlnotmut;0,1782±0,0411;0,2693±0,0195;0,1972±0,0170;0,2571±0,0126;0,2556±0,0248;0,2832±0,0337;0,2500±0,0586;0,2830±0,0526;0,2703±0,0642;0,3199±0,0589;0,3574±0,0678;0,3574±0,0657;0,3148±0,0346;0,3617±0,0513;0,3419±0,0679;0,3599±0,0583;0,3698±0,0829;0,3861±0,0701;0,4024±0,0783;0,3989±0,0728;
mlnotmut_a;0,1761±0,0426;0,2693±0,0155;0,1972±0,0170;0,2571±0,0126;0,2556±0,0248;0,2832±0,0337;0,2500±0,0586;0,2751±0,0422;0,2703±0,0642;0,3179±0,0583;0,3574±0,0678;0,3574±0,0657;0,3148±0,0346;0,3617±0,0513;0,3419±0,0679;0,3599±0,0583;0,3698±0,0829;0,3861±0,0701;0,4024±0,0783;0,3989±0,0728;
mlnotmut_b;0,1740±0,0452;0,2322±0,0200;0,2012±0,0246;0,2486±0,0253;0,2617±0,0249;0,2855±0,0321;0,2520±0,0609;0,2567±0,0308;0,2766±0,0594;0,2892±0,0686;0,3594±0,0693;0,3390±0,0559;0,3106±0,0330;0,3392±0,0474;0,3398±0,0743;0,3350±0,0701;0,3719±0,0911;0,3838±0,0797;0,4086±0,0712;0,3805±0,0798;
