;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;
mLkNN;0,4170±0,0646;0,5031±0,0638;0,4612±0,0374;0,4289±0,0606;0,4289±0,0905;0,4471±0,0585;0,5102±0,0360;0,4695±0,0242;0,5211±0,0606;0,4275±0,0465;0,3743±0,0410;0,3759±0,0407;0,3747±0,0397;0,4705±0,0914;0,3934±0,0507;0,4217±0,0269;0,3866±0,0397;0,4265±0,0549;0,3850±0,0428;0,3945±0,0454;
bRkNN;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;
bRkNN_a;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;
bRkNN_b;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;
mlmut;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;
mlmut_a;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;
mlmut_b;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;
mlnotmut;0,4170±0,0646;0,5239±0,0648;0,4941±0,1062;0,4842±0,0937;0,4664±0,0759;0,4664±0,0759;0,4664±0,0759;0,4664±0,0759;0,4318±0,0460;0,4664±0,0759;0,4277±0,0426;0,4235±0,0480;0,4277±0,0426;0,4277±0,0426;0,4277±0,0426;0,4277±0,0426;0,4178±0,0402;0,4277±0,0426;0,4277±0,0426;0,4235±0,0480;
mlnotmut_a;0,4170±0,0646;0,5239±0,0648;0,4941±0,1062;0,4842±0,0937;0,4664±0,0759;0,4664±0,0759;0,4664±0,0759;0,4664±0,0759;0,4318±0,0460;0,4664±0,0759;0,4277±0,0426;0,4235±0,0480;0,4277±0,0426;0,4277±0,0426;0,4277±0,0426;0,4277±0,0426;0,4178±0,0402;0,4277±0,0426;0,4277±0,0426;0,4235±0,0480;
mlnotmut_b;0,4170±0,0646;0,4870±0,0429;0,4941±0,1062;0,4862±0,0960;0,4664±0,0759;0,4664±0,0759;0,4664±0,0759;0,4622±0,0780;0,4134±0,0340;0,4664±0,0759;0,4259±0,0307;0,4217±0,0376;0,3971±0,0335;0,4180±0,0330;0,4134±0,0284;0,4580±0,0795;0,4211±0,0431;0,4221±0,0239;0,4092±0,0343;0,4580±0,0808;
