;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;
mLkNN;0,3344±0,0421;0,3344±0,0421;0,3320±0,0415;0,3320±0,0415;0,3367±0,0435;0,3507±0,0427;0,3642±0,0181;0,3593±0,0418;0,3583±0,0445;0,3514±0,0298;0,3574±0,0532;0,3455±0,0473;0,4366±0,0847;0,4822±0,0764;0,4786±0,0651;0,3999±0,0379;0,4080±0,0585;0,3956±0,0560;0,4097±0,0366;0,4314±0,0757;
bRkNN;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;
bRkNN_a;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;
bRkNN_b;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;
mlmut;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;
mlmut_a;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;
mlmut_b;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;
mlnotmut;0,3344±0,0421;0,3320±0,0415;0,3553±0,0337;0,3553±0,0337;0,3506±0,0227;0,3273±0,0298;0,3506±0,0227;0,3506±0,0227;0,3506±0,0227;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3345±0,0433;0,3320±0,0415;0,3297±0,0321;0,3297±0,0321;0,3297±0,0321;0,3320±0,0415;
mlnotmut_a;0,3344±0,0421;0,3320±0,0415;0,3553±0,0337;0,3553±0,0337;0,3506±0,0227;0,3273±0,0298;0,3506±0,0227;0,3506±0,0227;0,3506±0,0227;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3345±0,0433;0,3320±0,0415;0,3297±0,0321;0,3297±0,0321;0,3297±0,0321;0,3320±0,0415;
mlnotmut_b;0,3344±0,0421;0,3320±0,0415;0,3530±0,0357;0,3553±0,0337;0,3506±0,0227;0,3585±0,0542;0,4004±0,0417;0,4022±0,0303;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;
