;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;
mLkNN;0,1831±0,0620;0,1831±0,0620;0,1891±0,0597;0,2264±0,0612;0,2263±0,0549;0,2290±0,0442;0,2192±0,0500;0,2341±0,0411;0,2158±0,0445;0,2409±0,0413;0,2182±0,0449;0,2127±0,0567;0,2275±0,0559;0,2036±0,0520;0,2188±0,0588;0,2191±0,0590;0,2082±0,0533;0,2084±0,0634;0,2130±0,0587;0,2118±0,0590;
bRkNN;0,1795±0,0644;0,2459±0,0480;0,2700±0,0595;0,2889±0,0470;0,3284±0,0375;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;
bRkNN_a;0,1795±0,0644;0,2459±0,0480;0,2700±0,0595;0,2889±0,0470;0,3284±0,0375;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;0,3416±0,0380;
bRkNN_b;0,1641±0,0439;0,2305±0,0354;0,2510±0,0418;0,2736±0,0379;0,3142±0,0357;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;0,3310±0,0301;
mlmut;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;
mlmut_a;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;0,1795±0,0644;
mlmut_b;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;0,1641±0,0439;
mlnotmut;0,1831±0,0620;0,2168±0,0514;0,2304±0,0554;0,2602±0,0526;0,2353±0,0447;0,2312±0,0384;0,2435±0,0354;0,2461±0,0346;0,2521±0,0348;0,2694±0,0522;0,2719±0,0566;0,2874±0,0450;0,2778±0,0494;0,2922±0,0514;0,2994±0,0489;0,3017±0,0507;0,2972±0,0376;0,3034±0,0354;0,2999±0,0344;0,3164±0,0381;
mlnotmut_a;0,1831±0,0620;0,2168±0,0514;0,2304±0,0554;0,2614±0,0543;0,2353±0,0447;0,2312±0,0384;0,2435±0,0354;0,2461±0,0346;0,2521±0,0348;0,2694±0,0522;0,2719±0,0566;0,2874±0,0450;0,2778±0,0494;0,2922±0,0514;0,2994±0,0489;0,3017±0,0507;0,2972±0,0376;0,3034±0,0354;0,2999±0,0344;0,3164±0,0381;
mlnotmut_b;0,1831±0,0620;0,2280±0,0556;0,2303±0,0558;0,2532±0,0533;0,2411±0,0393;0,2648±0,0517;0,2848±0,0507;0,2819±0,0209;0,2552±0,0546;0,2696±0,0458;0,2791±0,0460;0,2825±0,0477;0,2778±0,0495;0,2887±0,0474;0,2910±0,0488;0,3007±0,0474;0,3043±0,0432;0,3126±0,0405;0,3115±0,0342;0,3188±0,0382;
