;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;
mLkNN;0,1859±0,0581;0,1872±0,0555;0,1968±0,0551;0,2279±0,0459;0,2243±0,0510;0,2301±0,0356;0,2252±0,0383;0,2292±0,0282;0,2206±0,0342;0,2340±0,0349;0,2207±0,0241;0,2123±0,0491;0,2198±0,0462;0,2206±0,0415;0,2137±0,0547;0,2195±0,0519;0,2111±0,0480;0,2229±0,0555;0,2240±0,0517;0,2170±0,0512;
bRkNN;0,1825±0,0587;0,2352±0,0463;0,2713±0,0437;0,2942±0,0401;0,3275±0,0264;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;
bRkNN_a;0,1825±0,0587;0,2352±0,0463;0,2713±0,0437;0,2942±0,0401;0,3275±0,0264;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;
bRkNN_b;0,1668±0,0371;0,2195±0,0284;0,2568±0,0265;0,2797±0,0305;0,3154±0,0194;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;
mlmut;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;
mlmut_a;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;0,1825±0,0587;
mlmut_b;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;0,1668±0,0371;
mlnotmut;0,1906±0,0580;0,3250±0,0942;0,2152±0,0552;0,2466±0,0538;0,2205±0,0222;0,2325±0,0199;0,2317±0,0247;0,2547±0,0463;0,2486±0,0347;0,2643±0,0481;0,2762±0,0430;0,2821±0,0380;0,2700±0,0234;0,2965±0,0384;0,3035±0,0295;0,3085±0,0388;0,3071±0,0344;0,3107±0,0336;0,3034±0,0255;0,3120±0,0352;
mlnotmut_a;0,1906±0,0580;0,2985±0,0766;0,2152±0,0552;0,2442±0,0534;0,2205±0,0222;0,2325±0,0199;0,2317±0,0247;0,2547±0,0463;0,2486±0,0347;0,2643±0,0481;0,2762±0,0430;0,2821±0,0380;0,2700±0,0234;0,2965±0,0384;0,3035±0,0295;0,3085±0,0388;0,3071±0,0344;0,3107±0,0336;0,3034±0,0255;0,3120±0,0352;
mlnotmut_b;0,1906±0,0580;0,2975±0,0618;0,2262±0,0612;0,2419±0,0451;0,2626±0,0396;0,2531±0,0462;0,2522±0,0394;0,2617±0,0406;0,2631±0,0479;0,2652±0,0431;0,2631±0,0509;0,2773±0,0410;0,2880±0,0304;0,3013±0,0372;0,3050±0,0404;0,3109±0,0407;0,3156±0,0376;0,3168±0,0376;0,3109±0,0432;0,3133±0,0402;
