;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;
mLkNN;0,3631±0,0681;0,3476±0,0414;0,3476±0,0414;0,3666±0,0743;0,3273±0,0070;0,3654±0,0406;0,3322±0,0156;0,3876±0,0640;0,3624±0,0312;0,3722±0,0441;0,3658±0,0168;0,4064±0,0633;0,3978±0,0744;0,4614±0,0851;0,4095±0,0698;0,3726±0,0289;0,3726±0,0727;0,3440±0,0287;0,3538±0,0284;0,3417±0,0304;
bRkNN;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;
bRkNN_a;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;
bRkNN_b;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;
mlmut;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;
mlmut_a;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;
mlmut_b;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;
mlnotmut;0,3631±0,0681;0,3678±0,0764;0,3494±0,0395;0,3321±0,0148;0,3444±0,0241;0,3444±0,0241;0,3444±0,0241;0,3346±0,0148;0,3346±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3285±0,0089;0,3321±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;
mlnotmut_a;0,3631±0,0681;0,3678±0,0764;0,3494±0,0395;0,3321±0,0148;0,3444±0,0241;0,3444±0,0241;0,3444±0,0241;0,3346±0,0148;0,3346±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3285±0,0089;0,3321±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;
mlnotmut_b;0,3631±0,0681;0,3549±0,0262;0,3575±0,0271;0,3407±0,0168;0,3407±0,0168;0,3444±0,0241;0,3395±0,0181;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3524±0,0250;0,3346±0,0148;0,3346±0,0148;0,3346±0,0148;0,3334±0,0162;0,3346±0,0148;
