;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;
mLkNN;0,1941±0,0263;0,1908±0,0277;0,1968±0,0284;0,2087±0,0216;0,2208±0,0185;0,2196±0,0297;0,2195±0,0225;0,2363±0,0248;0,2171±0,0185;0,2340±0,0250;0,2256±0,0219;0,2159±0,0251;0,2339±0,0165;0,2363±0,0296;0,2292±0,0311;0,2554±0,0207;0,2437±0,0314;0,2533±0,0241;0,2473±0,0321;0,2450±0,0335;
bRkNN;0,1881±0,0302;0,2602±0,0304;0,2876±0,0190;0,3056±0,0269;0,3297±0,0160;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;
bRkNN_a;0,1881±0,0302;0,2602±0,0304;0,2876±0,0190;0,3056±0,0269;0,3297±0,0160;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;0,3357±0,0141;
bRkNN_b;0,1714±0,0139;0,2423±0,0211;0,2769±0,0142;0,2913±0,0116;0,3225±0,0103;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;0,3310±0,0109;
mlmut;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;
mlmut_a;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;0,1881±0,0302;
mlmut_b;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;0,1714±0,0139;
mlnotmut;0,2025±0,0340;0,2503±0,0462;0,2376±0,0341;0,2611±0,0301;0,2768±0,0238;0,2803±0,0281;0,2876±0,0190;0,2935±0,0265;0,2935±0,0214;0,3020±0,0167;0,2985±0,0127;0,2998±0,0130;0,2938±0,0206;0,3117±0,0080;0,2960±0,0176;0,3056±0,0155;0,3117±0,0054;0,3188±0,0092;0,3201±0,0120;0,3165±0,0099;
mlnotmut_a;0,2025±0,0340;0,2503±0,0462;0,2376±0,0341;0,2623±0,0294;0,2768±0,0238;0,2803±0,0281;0,2876±0,0190;0,2935±0,0265;0,2935±0,0214;0,3020±0,0167;0,2985±0,0127;0,2998±0,0130;0,2938±0,0206;0,3117±0,0080;0,2960±0,0176;0,3056±0,0155;0,3117±0,0054;0,3188±0,0092;0,3201±0,0120;0,3165±0,0099;
mlnotmut_b;0,2025±0,0340;0,2482±0,0292;0,2482±0,0141;0,2590±0,0225;0,2708±0,0293;0,2634±0,0370;0,2793±0,0212;0,3021±0,0122;0,3033±0,0096;0,3069±0,0074;0,3021±0,0099;0,3035±0,0155;0,3106±0,0084;0,3142±0,0111;0,3166±0,0173;0,3249±0,0052;0,3262±0,0071;0,3297±0,0052;0,3250±0,0170;0,3273±0,0020;
