;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;
mLkNN;0,1678±0,0160;0,1849±0,0255;0,2124±0,0231;0,2050±0,0187;0,2197±0,0275;0,2099±0,0197;0,2051±0,0278;0,2208±0,0232;0,2484±0,0246;0,2507±0,0135;0,2159±0,0120;0,2160±0,0249;0,2351±0,0187;0,2303±0,0162;0,2460±0,0352;0,2219±0,0433;0,2448±0,0234;0,2172±0,0166;0,2363±0,0219;0,2304±0,0233;
bRkNN;0,1690±0,0124;0,2364±0,0224;0,2614±0,0080;0,2783±0,0082;0,2915±0,0130;0,3069±0,0258;0,3213±0,0160;0,3297±0,0160;0,3297±0,0160;0,3297±0,0160;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;
bRkNN_a;0,1690±0,0124;0,2364±0,0224;0,2614±0,0080;0,2783±0,0082;0,2915±0,0130;0,3069±0,0258;0,3213±0,0160;0,3297±0,0160;0,3297±0,0160;0,3297±0,0160;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;
bRkNN_b;0,1678±0,0137;0,2328±0,0215;0,2674±0,0141;0,2878±0,0140;0,3034±0,0191;0,3164±0,0250;0,3260±0,0154;0,3320±0,0191;0,3320±0,0191;0,3284±0,0170;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;0,3321±0,0148;
mlmut;0,1714±0,0107;0,1774±0,0108;0,1798±0,0103;0,1775±0,0052;0,1787±0,0025;0,1811±0,0089;0,1775±0,0123;0,1787±0,0109;0,1787±0,0109;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1968±0,0175;0,1968±0,0175;0,1968±0,0175;
mlmut_a;0,1714±0,0107;0,1774±0,0108;0,1798±0,0103;0,1775±0,0052;0,1787±0,0025;0,1811±0,0089;0,1775±0,0123;0,1787±0,0109;0,1787±0,0109;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1763±0,0139;0,1968±0,0175;0,1968±0,0175;0,1968±0,0175;
mlmut_b;0,1690±0,0124;0,1774±0,0091;0,1786±0,0109;0,1822±0,0078;0,1834±0,0078;0,1882±0,0103;0,1882±0,0103;0,1857±0,0135;0,1881±0,0160;0,1893±0,0156;0,1905±0,0172;0,1929±0,0140;0,1929±0,0140;0,1929±0,0140;0,1929±0,0140;0,1929±0,0140;0,1953±0,0150;0,2074±0,0140;0,2074±0,0140;0,2050±0,0149;
mlnotmut;0,1835±0,0215;0,2484±0,0152;0,2440±0,0536;0,2639±0,0241;0,2425±0,0339;0,2746±0,0134;0,2591±0,0093;0,2614±0,0099;0,2723±0,0140;0,2807±0,0127;0,2709±0,0041;0,2782±0,0129;0,2832±0,0251;0,3008±0,0166;0,3032±0,0189;0,3200±0,0277;0,2925±0,0110;0,2937±0,0203;0,2888±0,0184;0,3009±0,0112;
mlnotmut_a;0,1835±0,0215;0,2472±0,0131;0,2440±0,0536;0,2639±0,0241;0,2425±0,0339;0,2746±0,0134;0,2591±0,0093;0,2614±0,0099;0,2723±0,0140;0,2807±0,0127;0,2709±0,0041;0,2782±0,0129;0,2832±0,0251;0,3008±0,0166;0,3032±0,0189;0,3200±0,0277;0,2925±0,0110;0,2937±0,0203;0,2888±0,0184;0,3009±0,0112;
mlnotmut_b;0,1978±0,0136;0,2592±0,0181;0,2524±0,0518;0,2701±0,0354;0,2724±0,0239;0,2662±0,0108;0,2756±0,0204;0,2613±0,0229;0,2769±0,0223;0,2937±0,0250;0,2937±0,0211;0,2818±0,0206;0,2963±0,0218;0,3033±0,0121;0,3224±0,0297;0,3176±0,0188;0,2996±0,0127;0,2779±0,0235;0,2949±0,0151;0,2974±0,0119;
