;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;
mLkNN;0,0707±0,0112;0,0707±0,0112;0,0710±0,0110;0,0719±0,0104;0,0716±0,0106;0,0727±0,0093;0,0749±0,0086;0,0722±0,0097;0,0738±0,0114;0,0789±0,0109;0,0827±0,0108;0,0808±0,0108;0,0798±0,0114;0,0844±0,0116;0,0833±0,0081;0,0819±0,0068;0,0859±0,0047;0,0881±0,0066;0,0909±0,0028;0,0910±0,0063;
bRkNN;0,0641±0,0087;0,0958±0,0111;0,1272±0,0128;0,1421±0,0091;0,1627±0,0147;0,1763±0,0118;0,1830±0,0160;0,1892±0,0119;0,1962±0,0132;0,2054±0,0116;0,2124±0,0104;0,2136±0,0098;0,2158±0,0099;0,2162±0,0100;0,2174±0,0090;0,2185±0,0085;0,2248±0,0103;0,2257±0,0109;0,2323±0,0123;0,2387±0,0092;
bRkNN_a;0,0641±0,0087;0,0958±0,0111;0,1272±0,0128;0,1421±0,0091;0,1627±0,0147;0,1763±0,0118;0,1830±0,0160;0,1892±0,0119;0,1962±0,0132;0,2054±0,0116;0,2124±0,0104;0,2136±0,0098;0,2158±0,0099;0,2162±0,0100;0,2174±0,0090;0,2185±0,0085;0,2248±0,0103;0,2257±0,0109;0,2323±0,0123;0,2387±0,0092;
bRkNN_b;0,0698±0,0121;0,0986±0,0108;0,1277±0,0125;0,1423±0,0092;0,1618±0,0121;0,1754±0,0113;0,1827±0,0180;0,1900±0,0139;0,1956±0,0171;0,2041±0,0131;0,2109±0,0130;0,2109±0,0130;0,2130±0,0134;0,2133±0,0134;0,2133±0,0134;0,2156±0,0120;0,2185±0,0127;0,2203±0,0153;0,2264±0,0160;0,2334±0,0105;
mlmut;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;
mlmut_a;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;0,0641±0,0087;
mlmut_b;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;0,0698±0,0121;
mlnotmut;0,0707±0,0112;0,0989±0,0071;0,0790±0,0102;0,0977±0,0084;0,0872±0,0137;0,1280±0,0182;0,1007±0,0167;0,1157±0,0115;0,1096±0,0177;0,1078±0,0214;0,1132±0,0216;0,1167±0,0175;0,1224±0,0127;0,1363±0,0135;0,1382±0,0113;0,1487±0,0108;0,1430±0,0165;0,1424±0,0234;0,1445±0,0233;0,1470±0,0253;
mlnotmut_a;0,0707±0,0112;0,0986±0,0064;0,0790±0,0102;0,0976±0,0086;0,0872±0,0137;0,1229±0,0120;0,1007±0,0167;0,1158±0,0113;0,1096±0,0177;0,1078±0,0214;0,1132±0,0216;0,1167±0,0175;0,1224±0,0127;0,1363±0,0135;0,1382±0,0113;0,1487±0,0108;0,1430±0,0165;0,1424±0,0234;0,1445±0,0233;0,1470±0,0253;
mlnotmut_b;0,0707±0,0112;0,0894±0,0105;0,0836±0,0094;0,0945±0,0082;0,0961±0,0156;0,1199±0,0064;0,1080±0,0204;0,1223±0,0184;0,1217±0,0206;0,1169±0,0236;0,1216±0,0232;0,1237±0,0173;0,1348±0,0166;0,1458±0,0157;0,1648±0,0180;0,1547±0,0105;0,1494±0,0150;0,1484±0,0173;0,1467±0,0200;0,1470±0,0201;
