;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;
mLkNN;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3362±0,0714;0,3505±0,0611;0,3481±0,0776;0,3591±0,0830;0,3409±0,0741;0,3611±0,0664;0,3651±0,0696;0,3854±0,0664;0,4402±0,0636;0,4657±0,0686;0,4371±0,0749;0,3814±0,0447;0,4124±0,0634;0,4147±0,0804;0,3823±0,0663;0,3766±0,0487;
bRkNN;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;
bRkNN_a;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;
bRkNN_b;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;
mlmut;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;
mlmut_a;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;0,3457±0,0640;
mlmut_b;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;0,3314±0,0516;
mlnotmut;0,3323±0,0737;0,3752±0,0894;0,3933±0,0945;0,3906±0,0981;0,3362±0,0760;0,3810±0,1031;0,3829±0,0967;0,3920±0,0900;0,3479±0,0776;0,3527±0,0951;0,3527±0,0951;0,3516±0,0989;0,3386±0,0747;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;
mlnotmut_a;0,3323±0,0737;0,3752±0,0894;0,3933±0,0945;0,3906±0,0981;0,3362±0,0760;0,3810±0,1031;0,3829±0,0967;0,3920±0,0900;0,3479±0,0776;0,3527±0,0951;0,3527±0,0951;0,3516±0,0989;0,3386±0,0747;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;
mlnotmut_b;0,3323±0,0737;0,3847±0,0947;0,4378±0,0750;0,3904±0,0956;0,3426±0,0832;0,3690±0,0765;0,3840±0,1111;0,4237±0,0618;0,3503±0,0964;0,3503±0,0964;0,3503±0,0964;0,3477±0,0916;0,3475±0,0858;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3347±0,0726;0,3347±0,0726;0,3347±0,0726;
