;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;
mLkNN;0,1544±0,0384;0,1788±0,0440;0,1872±0,0536;0,1869±0,0442;0,2234±0,0517;0,2062±0,0511;0,1988±0,0548;0,2150±0,0501;0,2211±0,0382;0,2386±0,0493;0,2050±0,0394;0,2027±0,0581;0,2015±0,0572;0,2065±0,0695;0,2052±0,0518;0,2025±0,0485;0,2355±0,0532;0,2264±0,0531;0,2522±0,0461;0,1931±0,0508;
bRkNN;0,1603±0,0462;0,2051±0,0464;0,2426±0,0551;0,2688±0,0547;0,2881±0,0585;0,2917±0,0608;0,3060±0,0650;0,3298±0,0732;0,3298±0,0732;0,3298±0,0732;0,3298±0,0732;0,3298±0,0732;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;
bRkNN_a;0,1592±0,0462;0,2039±0,0476;0,2426±0,0551;0,2688±0,0547;0,2881±0,0585;0,2917±0,0608;0,3060±0,0650;0,3298±0,0732;0,3298±0,0732;0,3298±0,0732;0,3298±0,0732;0,3298±0,0732;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;
bRkNN_b;0,1568±0,0435;0,2039±0,0496;0,2462±0,0530;0,2723±0,0558;0,2964±0,0572;0,3048±0,0621;0,3155±0,0655;0,3285±0,0727;0,3321±0,0715;0,3332±0,0706;0,3321±0,0713;0,3285±0,0732;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;0,3323±0,0737;
mlmut;0,1532±0,0385;0,1699±0,0447;0,1603±0,0456;0,1580±0,0446;0,1651±0,0360;0,1615±0,0414;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1627±0,0433;
mlmut_a;0,1532±0,0385;0,1687±0,0449;0,1603±0,0456;0,1580±0,0446;0,1651±0,0360;0,1615±0,0414;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1603±0,0424;0,1627±0,0433;
mlmut_b;0,1532±0,0385;0,1663±0,0420;0,1639±0,0416;0,1627±0,0410;0,1627±0,0388;0,1675±0,0398;0,1723±0,0425;0,1758±0,0403;0,1746±0,0400;0,1757±0,0420;0,1757±0,0423;0,1769±0,0422;0,1769±0,0422;0,1769±0,0422;0,1769±0,0422;0,1769±0,0422;0,1769±0,0422;0,1769±0,0422;0,1769±0,0422;0,1793±0,0435;
mlnotmut;0,1808±0,0497;0,2316±0,0480;0,1960±0,0506;0,2278±0,0528;0,2182±0,0616;0,2350±0,0507;0,2322±0,0540;0,2484±0,0534;0,2545±0,0608;0,2517±0,0558;0,2368±0,0619;0,2572±0,0578;0,2732±0,0468;0,2818±0,0551;0,2882±0,0554;0,2891±0,0529;0,2722±0,0536;0,2733±0,0552;0,2783±0,0576;0,2878±0,0550;
mlnotmut_a;0,1796±0,0494;0,2304±0,0470;0,1960±0,0506;0,2278±0,0528;0,2182±0,0616;0,2338±0,0485;0,2322±0,0540;0,2484±0,0534;0,2545±0,0608;0,2517±0,0558;0,2368±0,0619;0,2572±0,0578;0,2732±0,0468;0,2818±0,0551;0,2882±0,0554;0,2891±0,0529;0,2722±0,0536;0,2733±0,0552;0,2783±0,0576;0,2878±0,0550;
mlnotmut_b;0,1913±0,0471;0,2133±0,0430;0,2162±0,0559;0,2393±0,0504;0,2456±0,0635;0,2491±0,0557;0,2548±0,0628;0,2650±0,0540;0,2797±0,0527;0,2771±0,0545;0,2595±0,0671;0,2680±0,0589;0,2863±0,0494;0,2878±0,0531;0,3086±0,0602;0,3037±0,0572;0,2744±0,0532;0,2842±0,0564;0,2795±0,0576;0,2831±0,0592;
