;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;
mLkNN;0,1276±0,0432;0,1255±0,0426;0,1420±0,0390;0,1564±0,0546;0,1975±0,0478;0,1996±0,0551;0,2551±0,0610;0,2613±0,0395;0,2058±0,0404;0,2222±0,0704;0,2428±0,0662;0,2490±0,0487;0,3086±0,0833;0,2716±0,0592;0,2737±0,0597;0,2428±0,0667;0,2572±0,0632;0,2593±0,0623;0,2737±0,0484;0,3189±0,0324;
bRkNN;0,1790±0,0478;0,2490±0,0842;0,2860±0,0865;0,3107±0,1006;0,3272±0,1087;0,3807±0,0688;0,3848±0,0658;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;
bRkNN_a;0,1770±0,0446;0,2469±0,0805;0,2860±0,0865;0,3107±0,1006;0,3272±0,1087;0,3807±0,0688;0,3848±0,0658;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;0,4136±0,0671;
bRkNN_b;0,1749±0,0382;0,2449±0,0708;0,2860±0,0824;0,3148±0,0980;0,3333±0,1040;0,3827±0,0676;0,3868±0,0656;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;
mlmut;0,1728±0,0400;0,1872±0,0449;0,1872±0,0449;0,1872±0,0449;0,1872±0,0449;0,1893±0,0443;0,1893±0,0460;0,1893±0,0460;0,1893±0,0460;0,1893±0,0460;0,1893±0,0460;0,1893±0,0460;0,1893±0,0460;0,1893±0,0460;0,1893±0,0460;0,1893±0,0460;0,1893±0,0460;0,1914±0,0436;0,1914±0,0436;0,1914±0,0436;
mlmut_a;0,1728±0,0400;0,1852±0,0419;0,1852±0,0419;0,1852±0,0419;0,1852±0,0419;0,1872±0,0414;0,1872±0,0432;0,1872±0,0432;0,1872±0,0432;0,1872±0,0432;0,1872±0,0432;0,1872±0,0432;0,1872±0,0432;0,1872±0,0432;0,1872±0,0432;0,1872±0,0432;0,1872±0,0432;0,1893±0,0407;0,1893±0,0407;0,1893±0,0407;
mlmut_b;0,1749±0,0382;0,1831±0,0354;0,1831±0,0354;0,1831±0,0354;0,1831±0,0354;0,1872±0,0385;0,1893±0,0426;0,1893±0,0426;0,1893±0,0426;0,1893±0,0426;0,1893±0,0426;0,1893±0,0426;0,1893±0,0426;0,1893±0,0426;0,1893±0,0426;0,1934±0,0487;0,1934±0,0487;0,1934±0,0487;0,1934±0,0487;0,1934±0,0487;
mlnotmut;0,1399±0,0502;0,1934±0,0612;0,1996±0,0740;0,2099±0,0741;0,2202±0,0909;0,2181±0,0724;0,2305±0,0842;0,2593±0,1118;0,2613±0,0905;0,2860±0,0992;0,2860±0,0886;0,2922±0,1036;0,3066±0,0937;0,3004±0,0872;0,3210±0,0837;0,3272±0,0928;0,3292±0,0951;0,3292±0,0850;0,3292±0,0850;0,3498±0,0896;
mlnotmut_a;0,1379±0,0502;0,1934±0,0624;0,1996±0,0740;0,2099±0,0741;0,2202±0,0909;0,2181±0,0724;0,2305±0,0842;0,2593±0,1118;0,2613±0,0905;0,2860±0,0992;0,2860±0,0886;0,2922±0,1036;0,3066±0,0937;0,3004±0,0872;0,3210±0,0837;0,3272±0,0928;0,3292±0,0951;0,3292±0,0850;0,3292±0,0850;0,3498±0,0896;
mlnotmut_b;0,1379±0,0648;0,1914±0,0586;0,1996±0,0740;0,2037±0,0630;0,2284±0,0882;0,2078±0,0584;0,2366±0,0919;0,2490±0,0908;0,2654±0,0886;0,2778±0,1055;0,2819±0,0854;0,2860±0,0953;0,2984±0,1005;0,3025±0,0972;0,3230±0,0833;0,3272±0,0837;0,3189±0,1032;0,3148±0,0846;0,3272±0,0837;0,3395±0,0855;
