;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;
mLkNN;0,1626±0,0507;0,1626±0,0507;0,1831±0,0644;0,2119±0,0819;0,2551±0,0719;0,2449±0,0597;0,2305±0,0752;0,2366±0,0640;0,2407±0,0741;0,2716±0,0715;0,2840±0,0882;0,2695±0,0752;0,2675±0,0665;0,2449±0,0809;0,2757±0,0588;0,2551±0,0435;0,2778±0,0693;0,2284±0,0846;0,2572±0,0650;0,2778±0,0698;
bRkNN;0,1667±0,0349;0,2490±0,0463;0,2551±0,0435;0,2757±0,0614;0,3374±0,0603;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;
bRkNN_a;0,1667±0,0349;0,2490±0,0463;0,2551±0,0435;0,2757±0,0614;0,3374±0,0603;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;
bRkNN_b;0,2119±0,0361;0,3025±0,0709;0,3066±0,0682;0,3230±0,0912;0,3765±0,0948;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;
mlmut;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;
mlmut_a;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;0,1667±0,0349;
mlmut_b;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;0,2119±0,0361;
mlnotmut;0,1626±0,0507;0,2160±0,0730;0,1975±0,0586;0,2058±0,0497;0,2037±0,0524;0,2284±0,0592;0,2119±0,0463;0,2243±0,0662;0,2181±0,0591;0,2428±0,0748;0,2716±0,0756;0,2757±0,0667;0,3189±0,0557;0,3148±0,0598;0,3066±0,0648;0,3230±0,0710;0,3210±0,0704;0,3395±0,0741;0,3457±0,0704;0,3621±0,0767;
mlnotmut_a;0,1626±0,0507;0,2202±0,0733;0,1975±0,0586;0,2058±0,0497;0,2037±0,0524;0,2284±0,0592;0,2119±0,0463;0,2243±0,0662;0,2181±0,0591;0,2428±0,0748;0,2716±0,0756;0,2757±0,0667;0,3189±0,0557;0,3148±0,0598;0,3066±0,0648;0,3230±0,0710;0,3210±0,0704;0,3395±0,0741;0,3457±0,0704;0,3621±0,0767;
mlnotmut_b;0,1626±0,0507;0,2099±0,0552;0,2078±0,0697;0,1996±0,0476;0,2160±0,0653;0,2366±0,0750;0,2037±0,0617;0,2366±0,0719;0,2284±0,0642;0,2572±0,0966;0,2654±0,0890;0,2737±0,0578;0,2942±0,0793;0,3107±0,0729;0,3272±0,0940;0,3230±0,0704;0,3272±0,0791;0,3601±0,0842;0,3560±0,1144;0,3601±0,0920;
