;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;
mLkNN;0,3930±0,0640;0,5062±0,0462;0,4239±0,0695;0,4053±0,0582;0,4115±0,0799;0,4239±0,0582;0,4712±0,0502;0,4959±0,0537;0,4856±0,0729;0,4383±0,0566;0,4424±0,0541;0,4115±0,0597;0,3951±0,0419;0,4259±0,0890;0,4280±0,0884;0,4033±0,0785;0,4218±0,0765;0,3868±0,0490;0,3889±0,0454;0,3765±0,0315;
bRkNN;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;
bRkNN_a;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;
bRkNN_b;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;
mlmut;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;
mlmut_a;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;0,3745±0,0368;
mlmut_b;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;0,4136±0,0687;
mlnotmut;0,3930±0,0640;0,4053±0,0656;0,3889±0,0605;0,3909±0,0569;0,3889±0,0605;0,3930±0,0571;0,3807±0,0573;0,3992±0,0694;0,3827±0,0605;0,3992±0,0726;0,4095±0,0595;0,3992±0,0726;0,4095±0,0595;0,3992±0,0726;0,4095±0,0638;0,3992±0,0726;0,4198±0,0725;0,4259±0,0824;0,4218±0,0868;0,4259±0,0824;
mlnotmut_a;0,3930±0,0640;0,4053±0,0656;0,3889±0,0605;0,3909±0,0569;0,3889±0,0605;0,3930±0,0571;0,3807±0,0573;0,3992±0,0694;0,3827±0,0605;0,3992±0,0726;0,4095±0,0595;0,3992±0,0726;0,4095±0,0595;0,3992±0,0726;0,4095±0,0638;0,3992±0,0726;0,4198±0,0725;0,4259±0,0824;0,4218±0,0868;0,4259±0,0824;
mlnotmut_b;0,3930±0,0640;0,3848±0,0664;0,3724±0,0608;0,3848±0,0551;0,3807±0,0648;0,3848±0,0551;0,3745±0,0760;0,3951±0,0653;0,3909±0,0701;0,3971±0,0694;0,4053±0,0839;0,3971±0,0694;0,4053±0,0839;0,3971±0,0694;0,4053±0,0839;0,3971±0,0694;0,4053±0,0839;0,4177±0,0937;0,4424±0,1272;0,4177±0,0937;
