;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20
bRkNN_a;0,0743;0,1079;0,1380;0,1545;0,1703;0,1827;0,1884;0,2016;0,2057;0,2125;0,2146;0,2179;0,2179;0,2206;0,2339;0,2362;0,2439;0,2592;0,2633;0,2744
bRkNN_b;0,0792;0,1110;0,1390;0,1560;0,1722;0,1836;0,1905;0,2010;0,2033;0,2101;0,2118;0,2168;0,2168;0,2168;0,2299;0,2299;0,2396;0,2579;0,2603;0,2760
mlmut;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743
mlmut_a;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743
mlmut_b;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792
mlnotmut;0,0792;0,0967;0,0952;0,1090;0,1098;0,1314;0,1258;0,1395;0,1347;0,1520;0,1599;0,1599;0,1455;0,1436;0,1475;0,1449;0,1576;0,1532;0,1605;0,1586
mlnotmut_a;0,0792;0,0970;0,0952;0,1091;0,1098;0,1314;0,1258;0,1395;0,1347;0,1520;0,1599;0,1599;0,1455;0,1436;0,1475;0,1449;0,1576;0,1532;0,1605;0,1586
mlnotmut_b;0,0792;0,0935;0,1101;0,1167;0,1320;0,1424;0,1335;0,1475;0,1455;0,1580;0,1623;0,1618;0,1643;0,1531;0,1654;0,1551;0,1656;0,1631;0,1551;0,1699
;;;;;;;;;;;;;;;;;;;;
;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20
GeneralB;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736
mLkNN;0,0792;0,0792;0,0792;0,0792;0,0792;0,0827;0,0827;0,0903;0,0904;0,0961;0,0926;0,0948;0,0904;0,0949;0,1014;0,0993;0,0998;0,1025;0,0926;0,102
bRkNN;0,0743;0,1079;0,138;0,1545;0,1703;0,1827;0,1884;0,2016;0,2057;0,2125;0,2146;0,2179;0,2179;0,2206;0,2339;0,2362;0,2439;0,2592;0,2633;0,2744
bRkNN_a;0,0743;0,1079;0,138;0,1545;0,1703;0,1827;0,1884;0,2016;0,2057;0,2125;0,2146;0,2179;0,2179;0,2206;0,2339;0,2362;0,2439;0,2592;0,2633;0,2744
bRkNN_b;0,0792;0,111;0,139;0,156;0,1722;0,1836;0,1905;0,201;0,2033;0,2101;0,2118;0,2168;0,2168;0,2168;0,2299;0,2299;0,2396;0,2579;0,2603;0,276
mlmut;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743
mlmut_a;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743;0,0743
mlmut_b;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792;0,0792
mlnotmut;0,0792;0,0967;0,0952;0,109;0,1098;0,1314;0,1258;0,1395;0,1347;0,152;0,1599;0,1599;0,1455;0,1436;0,1475;0,1449;0,1576;0,1532;0,1605;0,1586
mlnotmut_a;0,0792;0,097;0,0952;0,1091;0,1098;0,1314;0,1258;0,1395;0,1347;0,152;0,1599;0,1599;0,1455;0,1436;0,1475;0,1449;0,1576;0,1532;0,1605;0,1586
mlnotmut_b;0,0792;0,0935;0,1101;0,1167;0,132;0,1424;0,1335;0,1475;0,1455;0,158;0,1623;0,1618;0,1643;0,1531;0,1654;0,1551;0,1656;0,1631;0,1551;0,1699
