;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;
mLkNN;0,0592±0,0076;0,0630±0,0074;0,0792±0,0063;0,0710±0,0046;0,0733±0,0054;0,0738±0,0030;0,0815±0,0073;0,0776±0,0062;0,0852±0,0119;0,0876±0,0053;0,0914±0,0019;0,0862±0,0050;0,0966±0,0106;0,0884±0,0063;0,0871±0,0083;0,0885±0,0034;0,0935±0,0073;0,0941±0,0107;0,1052±0,0094;0,1037±0,0061;
bRkNN;0,0596±0,0079;0,0803±0,0015;0,1055±0,0010;0,1244±0,0066;0,1348±0,0088;0,1421±0,0080;0,1500±0,0067;0,1578±0,0064;0,1602±0,0041;0,1646±0,0072;0,1702±0,0079;0,1819±0,0130;0,1877±0,0095;0,1918±0,0145;0,1950±0,0143;0,1966±0,0135;0,1978±0,0128;0,1992±0,0124;0,2006±0,0101;0,2105±0,0180;
bRkNN_a;0,0595±0,0079;0,0802±0,0012;0,1055±0,0010;0,1244±0,0066;0,1348±0,0088;0,1421±0,0080;0,1500±0,0067;0,1578±0,0064;0,1602±0,0041;0,1646±0,0072;0,1702±0,0079;0,1819±0,0130;0,1877±0,0095;0,1918±0,0145;0,1950±0,0143;0,1966±0,0135;0,1978±0,0128;0,1992±0,0124;0,2006±0,0101;0,2105±0,0180;
bRkNN_b;0,0589±0,0076;0,0811±0,0024;0,1084±0,0011;0,1262±0,0062;0,1370±0,0092;0,1459±0,0086;0,1551±0,0073;0,1618±0,0066;0,1665±0,0038;0,1705±0,0063;0,1766±0,0070;0,1871±0,0106;0,1918±0,0076;0,1957±0,0134;0,1982±0,0128;0,2016±0,0128;0,2035±0,0114;0,2071±0,0109;0,2086±0,0090;0,2194±0,0147;
mlmut;0,0599±0,0082;0,0599±0,0082;0,0611±0,0071;0,0622±0,0078;0,0622±0,0081;0,0627±0,0083;0,0641±0,0088;0,0643±0,0089;0,0625±0,0090;0,0630±0,0090;0,0619±0,0097;0,0619±0,0094;0,0624±0,0096;0,0647±0,0106;0,0640±0,0103;0,0637±0,0104;0,0646±0,0106;0,0646±0,0106;0,0649±0,0102;0,0663±0,0106;
mlmut_a;0,0598±0,0082;0,0598±0,0082;0,0609±0,0071;0,0621±0,0078;0,0621±0,0080;0,0625±0,0082;0,0640±0,0087;0,0641±0,0088;0,0624±0,0090;0,0628±0,0090;0,0618±0,0096;0,0618±0,0093;0,0622±0,0095;0,0641±0,0100;0,0638±0,0103;0,0636±0,0104;0,0644±0,0106;0,0644±0,0106;0,0647±0,0101;0,0662±0,0106;
mlmut_b;0,0590±0,0078;0,0600±0,0066;0,0647±0,0056;0,0657±0,0053;0,0666±0,0052;0,0669±0,0053;0,0698±0,0062;0,0709±0,0070;0,0710±0,0068;0,0713±0,0068;0,0730±0,0060;0,0736±0,0054;0,0749±0,0064;0,0760±0,0064;0,0763±0,0065;0,0764±0,0068;0,0773±0,0065;0,0771±0,0067;0,0771±0,0067;0,0780±0,0069;
mlnotmut;0,0637±0,0080;0,0850±0,0084;0,0922±0,0132;0,0944±0,0043;0,0827±0,0085;0,0906±0,0052;0,0904±0,0045;0,1025±0,0050;0,1063±0,0053;0,1059±0,0137;0,1080±0,0184;0,1173±0,0164;0,1173±0,0167;0,1236±0,0153;0,1294±0,0108;0,1335±0,0117;0,1369±0,0098;0,1445±0,0075;0,1433±0,0088;0,1434±0,0071;
mlnotmut_a;0,0637±0,0080;0,0855±0,0092;0,0920±0,0133;0,0942±0,0067;0,0827±0,0085;0,0907±0,0052;0,0904±0,0045;0,1025±0,0047;0,1063±0,0053;0,1061±0,0131;0,1080±0,0184;0,1173±0,0164;0,1173±0,0167;0,1236±0,0153;0,1294±0,0108;0,1335±0,0117;0,1369±0,0098;0,1445±0,0075;0,1433±0,0088;0,1434±0,0071;
mlnotmut_b;0,0725±0,0079;0,0888±0,0081;0,1058±0,0136;0,1059±0,0033;0,0967±0,0087;0,1012±0,0054;0,1058±0,0032;0,1174±0,0031;0,1198±0,0028;0,1173±0,0126;0,1230±0,0170;0,1309±0,0130;0,1297±0,0145;0,1344±0,0169;0,1408±0,0124;0,1442±0,0145;0,1496±0,0114;0,1493±0,0078;0,1518±0,0075;0,1547±0,0060;
