;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;
mLkNN;0,3736±0,0074;0,3736±0,0074;0,4101±0,0683;0,4370±0,0376;0,4484±0,0475;0,4381±0,0455;0,4710±0,0523;0,4068±0,0432;0,4653±0,0221;0,3903±0,0332;0,4268±0,0653;0,4796±0,0484;0,4377±0,0166;0,4457±0,0198;0,4513±0,0677;0,4052±0,0341;0,4069±0,0437;0,4693±0,0382;0,4416±0,0611;0,4491±0,0565;
bRkNN;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;
bRkNN_a;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;
bRkNN_b;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;
mlmut;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;
mlmut_a;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;0,3662±0,0076;
mlmut_b;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;
mlnotmut;0,3736±0,0074;0,3875±0,0180;0,3779±0,0097;0,3875±0,0180;0,3878±0,0151;0,3809±0,0184;0,3935±0,0201;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3820±0,0182;0,3820±0,0182;0,3736±0,0074;0,3820±0,0182;0,3802±0,0127;
mlnotmut_a;0,3736±0,0074;0,3875±0,0180;0,3779±0,0097;0,3875±0,0180;0,3878±0,0151;0,3809±0,0184;0,3935±0,0201;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3862±0,0173;0,3820±0,0182;0,3820±0,0182;0,3736±0,0074;0,3820±0,0182;0,3802±0,0127;
mlnotmut_b;0,3736±0,0074;0,3807±0,0068;0,3807±0,0133;0,3850±0,0109;0,3878±0,0151;0,3809±0,0184;0,3991±0,0225;0,3991±0,0225;0,3809±0,0184;0,3736±0,0074;0,3820±0,0182;0,3848±0,0227;0,3736±0,0074;0,3736±0,0074;0,3888±0,0144;0,3830±0,0172;0,3810±0,0194;0,3780±0,0137;0,3853±0,0211;0,3880±0,0198;
