;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;0,3736±0,0074;
mLkNN;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0713±0,0121;0,0713±0,0121;0,0713±0,0121;0,0717±0,0110;0,0745±0,0082;0,0795±0,0072;0,0784±0,0078;0,0834±0,0066;0,0850±0,0066;0,0809±0,0124;0,0812±0,0130;0,0817±0,0091;0,0804±0,0092;0,0806±0,0093;0,0910±0,0103;0,0954±0,0072;0,0901±0,0043;
bRkNN;0,0657±0,0094;0,0996±0,0079;0,1313±0,0058;0,1484±0,0044;0,1594±0,0030;0,1750±0,0030;0,1854±0,0053;0,1931±0,0056;0,2048±0,0082;0,2058±0,0094;0,2131±0,0106;0,2143±0,0096;0,2162±0,0077;0,2190±0,0079;0,2190±0,0079;0,2201±0,0088;0,2254±0,0081;0,2448±0,0128;0,2463±0,0132;0,2592±0,0212;
bRkNN_a;0,0657±0,0094;0,0996±0,0079;0,1313±0,0058;0,1484±0,0044;0,1594±0,0030;0,1750±0,0030;0,1854±0,0053;0,1931±0,0056;0,2048±0,0082;0,2058±0,0094;0,2131±0,0106;0,2143±0,0096;0,2162±0,0077;0,2190±0,0079;0,2190±0,0079;0,2201±0,0088;0,2254±0,0081;0,2448±0,0128;0,2463±0,0132;0,2592±0,0212;
bRkNN_b;0,0712±0,0119;0,1017±0,0039;0,1318±0,0030;0,1486±0,0071;0,1591±0,0053;0,1737±0,0043;0,1862±0,0092;0,1933±0,0116;0,2035±0,0145;0,2038±0,0147;0,2106±0,0153;0,2118±0,0143;0,2133±0,0128;0,2162±0,0168;0,2162±0,0168;0,2162±0,0168;0,2191±0,0153;0,2419±0,0173;0,2434±0,0176;0,2582±0,0258;
mlmut;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;
mlmut_a;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;0,0657±0,0094;
mlmut_b;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;0,0712±0,0119;
mlnotmut;0,0712±0,0119;0,0961±0,0175;0,0913±0,0046;0,1113±0,0158;0,1134±0,0075;0,1172±0,0068;0,1218±0,0029;0,1214±0,0036;0,1290±0,0040;0,1358±0,0066;0,1386±0,0088;0,1442±0,0124;0,1502±0,0107;0,1515±0,0142;0,1529±0,0151;0,1605±0,0110;0,1579±0,0108;0,1618±0,0098;0,1592±0,0121;0,1667±0,0062;
mlnotmut_a;0,0712±0,0119;0,0960±0,0183;0,0913±0,0046;0,1113±0,0158;0,1134±0,0075;0,1172±0,0068;0,1218±0,0029;0,1214±0,0036;0,1290±0,0040;0,1358±0,0066;0,1386±0,0088;0,1442±0,0124;0,1502±0,0107;0,1515±0,0142;0,1529±0,0151;0,1605±0,0110;0,1579±0,0108;0,1618±0,0098;0,1592±0,0121;0,1667±0,0062;
mlnotmut_b;0,0712±0,0119;0,0934±0,0106;0,0960±0,0089;0,1128±0,0104;0,1196±0,0038;0,1189±0,0066;0,1331±0,0085;0,1328±0,0042;0,1373±0,0030;0,1393±0,0064;0,1402±0,0085;0,1484±0,0085;0,1519±0,0092;0,1561±0,0060;0,1591±0,0113;0,1651±0,0070;0,1648±0,0089;0,1621±0,0096;0,1640±0,0104;0,1713±0,0099;
