;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;
mLkNN;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,4417±0,0459;0,4510±0,0397;0,4888±0,0256;0,4684±0,0408;0,4621±0,0373;0,4777±0,0532;0,3982±0,0580;0,4400±0,0588;0,4552±0,0567;0,4052±0,0629;0,4419±0,0099;0,4098±0,0386;0,4114±0,0444;0,4104±0,0481;0,4325±0,0791;0,4338±0,0721;0,4400±0,0719;
bRkNN;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;
bRkNN_a;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;
bRkNN_b;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;
mlmut;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;
mlmut_a;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;0,3662±0,0221;
mlmut_b;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;
mlnotmut;0,3737±0,0336;0,4076±0,0316;0,3737±0,0336;0,4076±0,0316;0,3737±0,0336;0,3863±0,0216;0,3737±0,0336;0,3863±0,0216;0,3737±0,0336;0,3737±0,0336;0,3774±0,0290;0,3830±0,0126;0,3774±0,0290;0,3737±0,0336;0,3703±0,0238;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3696±0,0329;0,3737±0,0336;
mlnotmut_a;0,3737±0,0336;0,4076±0,0316;0,3737±0,0336;0,4076±0,0316;0,3737±0,0336;0,3863±0,0216;0,3737±0,0336;0,3863±0,0216;0,3737±0,0336;0,3737±0,0336;0,3774±0,0290;0,3830±0,0126;0,3774±0,0290;0,3737±0,0336;0,3703±0,0238;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3696±0,0329;0,3737±0,0336;
mlnotmut_b;0,3737±0,0336;0,3920±0,0232;0,3737±0,0336;0,3911±0,0240;0,3737±0,0336;0,3795±0,0192;0,3737±0,0336;0,3795±0,0192;0,3737±0,0336;0,3737±0,0336;0,3895±0,0265;0,3830±0,0126;0,3895±0,0265;0,3737±0,0336;0,3795±0,0192;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3740±0,0334;0,3737±0,0336;
