;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;
mLkNN;0,1585±0,0619;0,1585±0,0619;0,1791±0,0490;0,1999±0,0571;0,2397±0,0519;0,2318±0,0523;0,2341±0,0722;0,2229±0,0612;0,2271±0,0609;0,2379±0,0553;0,2684±0,0625;0,2641±0,0671;0,2606±0,0661;0,2300±0,0535;0,2587±0,0693;0,2601±0,0713;0,2668±0,0613;0,2141±0,0621;0,2500±0,0750;0,2664±0,0868;
bRkNN;0,1802±0,0627;0,2650±0,0810;0,2758±0,0717;0,3036±0,0762;0,3687±0,0386;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;
bRkNN_a;0,1802±0,0627;0,2650±0,0810;0,2758±0,0717;0,3036±0,0762;0,3687±0,0386;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;
bRkNN_b;0,2123±0,0724;0,2989±0,0922;0,3162±0,0683;0,3400±0,0831;0,4053±0,0565;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;
mlmut;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;
mlmut_a;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;0,1802±0,0627;
mlmut_b;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;0,2123±0,0724;
mlnotmut;0,1585±0,0619;0,2466±0,0929;0,1916±0,0555;0,2076±0,0697;0,1957±0,0520;0,2127±0,0673;0,2202±0,0621;0,2433±0,0624;0,2430±0,0437;0,2624±0,0654;0,2868±0,0558;0,3130±0,0748;0,3241±0,0666;0,3171±0,0684;0,3465±0,0661;0,3579±0,0657;0,3297±0,0744;0,3272±0,0703;0,3458±0,0715;0,3568±0,0736;
mlnotmut_a;0,1585±0,0619;0,2486±0,0946;0,1916±0,0555;0,2076±0,0697;0,1957±0,0520;0,2127±0,0673;0,2202±0,0621;0,2433±0,0624;0,2430±0,0437;0,2624±0,0654;0,2868±0,0558;0,3130±0,0748;0,3241±0,0666;0,3171±0,0684;0,3465±0,0661;0,3579±0,0657;0,3297±0,0744;0,3272±0,0703;0,3458±0,0715;0,3568±0,0736;
mlnotmut_b;0,1585±0,0619;0,2174±0,0579;0,1870±0,0672;0,2080±0,0651;0,2184±0,0679;0,2379±0,0782;0,2311±0,0669;0,2578±0,0615;0,2531±0,0450;0,2543±0,0610;0,2924±0,0840;0,3090±0,0768;0,3422±0,0582;0,3090±0,0668;0,3378±0,0680;0,3714±0,0833;0,3501±0,0930;0,3411±0,0969;0,3714±0,0444;0,3595±0,0456;
