;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;
mLkNN;0,1272±0,0387;0,1293±0,0361;0,1358±0,0399;0,1461±0,0443;0,1959±0,0638;0,1820±0,0534;0,2572±0,0619;0,2520±0,0728;0,2042±0,0749;0,2017±0,0937;0,2390±0,0549;0,2033±0,0502;0,2572±0,0727;0,2684±0,0751;0,2498±0,0665;0,2255±0,0481;0,2745±0,0522;0,2569±0,0682;0,2686±0,0663;0,2709±0,0735;
bRkNN;0,1789±0,0581;0,2475±0,0739;0,2920±0,0666;0,3139±0,0704;0,3416±0,0523;0,3878±0,0436;0,4001±0,0399;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;
bRkNN_a;0,1769±0,0558;0,2455±0,0733;0,2920±0,0666;0,3139±0,0704;0,3416±0,0523;0,3878±0,0436;0,4001±0,0399;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;0,4289±0,0524;
bRkNN_b;0,1750±0,0529;0,2437±0,0736;0,2980±0,0604;0,3238±0,0620;0,3458±0,0547;0,3920±0,0437;0,4042±0,0430;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;
mlmut;0,1750±0,0496;0,1789±0,0581;0,1690±0,0505;0,1690±0,0505;0,1690±0,0505;0,1750±0,0554;0,1750±0,0554;0,1750±0,0554;0,1750±0,0554;0,1750±0,0554;0,1750±0,0554;0,1750±0,0554;0,1670±0,0580;0,1631±0,0578;0,1631±0,0578;0,1710±0,0518;0,1710±0,0518;0,1710±0,0518;0,1710±0,0518;0,1690±0,0494;
mlmut_a;0,1750±0,0496;0,1769±0,0558;0,1690±0,0505;0,1690±0,0505;0,1690±0,0505;0,1769±0,0578;0,1769±0,0578;0,1769±0,0578;0,1769±0,0578;0,1769±0,0578;0,1769±0,0578;0,1769±0,0578;0,1690±0,0605;0,1650±0,0605;0,1650±0,0605;0,1730±0,0544;0,1730±0,0544;0,1730±0,0544;0,1730±0,0544;0,1710±0,0518;
mlmut_b;0,1769±0,0501;0,1750±0,0529;0,1751±0,0518;0,1751±0,0518;0,1751±0,0518;0,1791±0,0542;0,1813±0,0575;0,1813±0,0575;0,1813±0,0575;0,1813±0,0575;0,1813±0,0575;0,1813±0,0575;0,1733±0,0589;0,1694±0,0583;0,1694±0,0583;0,1813±0,0503;0,1813±0,0503;0,1813±0,0503;0,1813±0,0503;0,1833±0,0521;
mlnotmut;0,1291±0,0351;0,1908±0,0412;0,1910±0,0636;0,2195±0,0503;0,1912±0,0641;0,2305±0,0656;0,2188±0,0604;0,2487±0,0588;0,2513±0,0512;0,2771±0,0372;0,2720±0,0498;0,2935±0,0542;0,2992±0,0642;0,3157±0,0569;0,3220±0,0496;0,3321±0,0533;0,3400±0,0514;0,3216±0,0671;0,3416±0,0702;0,3604±0,0611;
mlnotmut_a;0,1272±0,0349;0,1950±0,0434;0,1910±0,0636;0,2195±0,0503;0,1912±0,0641;0,2305±0,0656;0,2188±0,0604;0,2487±0,0588;0,2513±0,0512;0,2771±0,0372;0,2720±0,0498;0,2935±0,0542;0,2992±0,0642;0,3157±0,0569;0,3220±0,0496;0,3321±0,0533;0,3400±0,0514;0,3216±0,0671;0,3416±0,0702;0,3604±0,0611;
mlnotmut_b;0,1293±0,0456;0,1742±0,0491;0,1968±0,0709;0,2054±0,0670;0,1975±0,0612;0,2284±0,0629;0,2211±0,0558;0,2449±0,0502;0,2532±0,0576;0,3021±0,0386;0,2740±0,0519;0,2891±0,0595;0,3054±0,0639;0,3133±0,0580;0,3220±0,0453;0,3299±0,0442;0,3378±0,0533;0,3386±0,0523;0,3418±0,0692;0,3580±0,0642;
