;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;
mLkNN;0,3966±0,0611;0,5204±0,0466;0,4692±0,0769;0,4349±0,0781;0,4154±0,0798;0,4612±0,0774;0,4807±0,0547;0,5045±0,0682;0,4814±0,1132;0,4403±0,0725;0,4562±0,0901;0,4132±0,0649;0,3912±0,0544;0,4266±0,0724;0,4205±0,0849;0,4067±0,0797;0,3829±0,0535;0,3966±0,0627;0,3938±0,0707;0,4064±0,0946;
bRkNN;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;
bRkNN_a;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;
bRkNN_b;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;
mlmut;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;
mlmut_a;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;0,3902±0,0382;
mlmut_b;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;0,4309±0,0500;
mlnotmut;0,3966±0,0611;0,4443±0,0783;0,3923±0,0465;0,4031±0,0507;0,3923±0,0465;0,4140±0,0420;0,4230±0,0686;0,4140±0,0420;0,4010±0,0551;0,3966±0,0682;0,3966±0,0682;0,3966±0,0682;0,4208±0,0724;0,3966±0,0682;0,4208±0,0724;0,4338±0,0588;0,4208±0,0724;0,4165±0,0839;0,4208±0,0724;0,4381±0,0602;
mlnotmut_a;0,3966±0,0611;0,4443±0,0783;0,3923±0,0465;0,4031±0,0507;0,3923±0,0465;0,4140±0,0420;0,4230±0,0686;0,4140±0,0420;0,4010±0,0551;0,3966±0,0682;0,3966±0,0682;0,3966±0,0682;0,4208±0,0724;0,3966±0,0682;0,4208±0,0724;0,4338±0,0588;0,4208±0,0724;0,4165±0,0839;0,4208±0,0724;0,4381±0,0602;
mlnotmut_b;0,3966±0,0611;0,4187±0,0759;0,3815±0,0538;0,3945±0,0515;0,4075±0,0411;0,3988±0,0473;0,3945±0,0515;0,4053±0,0451;0,4010±0,0551;0,4006±0,0708;0,4006±0,0708;0,3966±0,0682;0,4053±0,0405;0,3966±0,0682;0,4010±0,0430;0,4378±0,0712;0,4565±0,1037;0,4522±0,1185;0,4248±0,0760;0,4183±0,0458;
