;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;
mLkNN;0,4131±0,1463;0,3654±0,0541;0,3488±0,0273;0,3464±0,0248;0,3369±0,0234;0,3738±0,0270;0,4024±0,0551;0,3786±0,0468;0,3619±0,0218;0,3608±0,0233;0,4197±0,0492;0,3993±0,0210;0,4608±0,0603;0,4502±0,0399;0,4095±0,0428;0,3869±0,0547;0,4098±0,0496;0,3988±0,0777;0,3884±0,0312;0,3857±0,0496;
bRkNN;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;
bRkNN_a;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;
bRkNN_b;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;
mlmut;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;
mlmut_a;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;
mlmut_b;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;
mlnotmut;0,4131±0,1463;0,3964±0,1135;0,3940±0,1088;0,4773±0,1330;0,3773±0,0921;0,3773±0,0921;0,3297±0,0144;0,3345±0,0254;0,3369±0,0234;0,3321±0,0280;0,3345±0,0254;0,3321±0,0280;0,3345±0,0254;0,3321±0,0280;0,3345±0,0254;0,3345±0,0254;0,3345±0,0254;0,3345±0,0254;0,3345±0,0254;0,3345±0,0254;
mlnotmut_a;0,4131±0,1463;0,3845±0,0903;0,3940±0,1088;0,4773±0,1330;0,3773±0,0921;0,3773±0,0921;0,3297±0,0144;0,3345±0,0254;0,3369±0,0234;0,3321±0,0280;0,3345±0,0254;0,3321±0,0280;0,3345±0,0254;0,3321±0,0280;0,3345±0,0254;0,3345±0,0254;0,3345±0,0254;0,3345±0,0254;0,3345±0,0254;0,3345±0,0254;
mlnotmut_b;0,4131±0,1463;0,3654±0,0541;0,3940±0,1088;0,4226±0,1145;0,4083±0,0893;0,3702±0,0780;0,3464±0,0323;0,3488±0,0273;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3357±0,0262;0,3357±0,0262;0,3405±0,0204;0,3357±0,0262;0,3405±0,0204;0,3357±0,0262;0,3357±0,0262;
