;k=8;
GeneralB;0,3192±0,0073;
mLkNN;0,3764±0,0222;
bRkNN;0,3192±0,0073;
bRkNN_a;0,3192±0,0073;
bRkNN_b;0,3288±0,0056;
mlmut;0,3192±0,0073;
mlmut_a;0,3192±0,0073;
mlmut_b;0,3288±0,0056;
mlnotmut;0,5077±0,1024;
mlnotmut_a;0,5077±0,1024;
mlnotmut_b;0,5197±0,0878;
