;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;
mLkNN;0,0629±0,0144;0,0629±0,0144;0,0629±0,0144;0,0629±0,0144;0,0631±0,0145;0,0618±0,0139;0,0630±0,0137;0,0628±0,0147;0,0646±0,0130;0,0662±0,0147;0,0695±0,0153;0,0726±0,0139;0,0722±0,0152;0,0746±0,0180;0,0732±0,0167;0,0717±0,0150;0,0738±0,0149;0,0739±0,0149;0,0748±0,0157;0,0761±0,0168;
bRkNN;0,0565±0,0119;0,0890±0,0170;0,1226±0,0127;0,1344±0,0131;0,1546±0,0242;0,1694±0,0197;0,1763±0,0206;0,1827±0,0226;0,1878±0,0204;0,1976±0,0198;0,2022±0,0198;0,2106±0,0187;0,2136±0,0172;0,2162±0,0174;0,2162±0,0174;0,2162±0,0174;0,2171±0,0166;0,2171±0,0166;0,2191±0,0153;0,2250±0,0176;
bRkNN_a;0,0565±0,0119;0,0890±0,0170;0,1226±0,0127;0,1344±0,0131;0,1546±0,0242;0,1694±0,0197;0,1763±0,0206;0,1827±0,0226;0,1878±0,0204;0,1976±0,0198;0,2022±0,0198;0,2106±0,0187;0,2136±0,0172;0,2162±0,0174;0,2162±0,0174;0,2162±0,0174;0,2171±0,0166;0,2171±0,0166;0,2191±0,0153;0,2250±0,0176;
bRkNN_b;0,0603±0,0146;0,0916±0,0172;0,1220±0,0145;0,1341±0,0155;0,1540±0,0251;0,1678±0,0206;0,1766±0,0222;0,1833±0,0267;0,1871±0,0252;0,1947±0,0239;0,2013±0,0247;0,2089±0,0230;0,2115±0,0219;0,2133±0,0221;0,2133±0,0221;0,2133±0,0221;0,2133±0,0221;0,2133±0,0221;0,2147±0,0236;0,2203±0,0231;
mlmut;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;
mlmut_a;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;0,0565±0,0119;
mlmut_b;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;0,0603±0,0146;
mlnotmut;0,0629±0,0144;0,0900±0,0166;0,0863±0,0213;0,1125±0,0240;0,1082±0,0256;0,1301±0,0264;0,1345±0,0221;0,1436±0,0243;0,1379±0,0220;0,1411±0,0208;0,1358±0,0184;0,1366±0,0192;0,1370±0,0212;0,1465±0,0237;0,1446±0,0217;0,1522±0,0273;0,1399±0,0188;0,1488±0,0200;0,1526±0,0179;0,1541±0,0185;
mlnotmut_a;0,0629±0,0144;0,0891±0,0168;0,0863±0,0213;0,1117±0,0235;0,1082±0,0256;0,1301±0,0264;0,1345±0,0221;0,1436±0,0243;0,1379±0,0220;0,1411±0,0208;0,1358±0,0184;0,1366±0,0192;0,1370±0,0212;0,1465±0,0237;0,1446±0,0217;0,1522±0,0273;0,1399±0,0188;0,1488±0,0200;0,1526±0,0179;0,1541±0,0185;
mlnotmut_b;0,0629±0,0144;0,0853±0,0175;0,0898±0,0198;0,1117±0,0217;0,1174±0,0214;0,1329±0,0252;0,1338±0,0228;0,1475±0,0252;0,1442±0,0177;0,1449±0,0218;0,1421±0,0193;0,1418±0,0198;0,1465±0,0174;0,1496±0,0237;0,1548±0,0221;0,1576±0,0249;0,1468±0,0196;0,1529±0,0195;0,1569±0,0193;0,1576±0,0194;
