;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;
mLkNN;0,0662±0,0153;0,0649±0,0145;0,0653±0,0147;0,0653±0,0154;0,0659±0,0156;0,0688±0,0175;0,0695±0,0169;0,0698±0,0176;0,0698±0,0176;0,0751±0,0164;0,0768±0,0180;0,0815±0,0197;0,0781±0,0196;0,0827±0,0216;0,0830±0,0210;0,0796±0,0200;0,0809±0,0215;0,0841±0,0214;0,0830±0,0181;0,0863±0,0160;
bRkNN;0,0580±0,0101;0,0952±0,0095;0,1231±0,0079;0,1383±0,0097;0,1551±0,0178;0,1721±0,0149;0,1775±0,0149;0,1870±0,0150;0,1931±0,0141;0,2020±0,0112;0,2067±0,0112;0,2128±0,0129;0,2157±0,0142;0,2162±0,0141;0,2162±0,0141;0,2162±0,0141;0,2179±0,0141;0,2245±0,0154;0,2252±0,0165;0,2273±0,0167;
bRkNN_a;0,0580±0,0101;0,0952±0,0095;0,1231±0,0079;0,1383±0,0097;0,1551±0,0178;0,1721±0,0149;0,1775±0,0149;0,1870±0,0150;0,1931±0,0141;0,2020±0,0112;0,2067±0,0112;0,2128±0,0129;0,2157±0,0142;0,2162±0,0141;0,2162±0,0141;0,2162±0,0141;0,2179±0,0141;0,2245±0,0154;0,2252±0,0165;0,2273±0,0167;
bRkNN_b;0,0627±0,0146;0,0977±0,0139;0,1231±0,0142;0,1377±0,0144;0,1553±0,0192;0,1705±0,0180;0,1769±0,0184;0,1871±0,0204;0,1925±0,0215;0,2007±0,0169;0,2060±0,0178;0,2109±0,0190;0,2130±0,0203;0,2133±0,0202;0,2133±0,0202;0,2133±0,0202;0,2133±0,0202;0,2176±0,0214;0,2191±0,0225;0,2203±0,0221;
mlmut;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;
mlmut_a;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;0,0580±0,0101;
mlmut_b;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;0,0627±0,0146;
mlnotmut;0,0662±0,0153;0,1068±0,0142;0,0843±0,0105;0,0948±0,0147;0,0925±0,0161;0,0976±0,0162;0,1056±0,0192;0,1145±0,0212;0,1167±0,0121;0,1237±0,0152;0,1283±0,0143;0,1353±0,0206;0,1376±0,0215;0,1436±0,0226;0,1427±0,0225;0,1471±0,0242;0,1510±0,0200;0,1518±0,0224;0,1512±0,0228;0,1521±0,0231;
mlnotmut_a;0,0662±0,0153;0,1069±0,0144;0,0843±0,0105;0,0951±0,0145;0,0925±0,0161;0,0976±0,0162;0,1056±0,0192;0,1145±0,0212;0,1167±0,0121;0,1237±0,0152;0,1283±0,0143;0,1353±0,0206;0,1376±0,0215;0,1436±0,0226;0,1427±0,0225;0,1471±0,0242;0,1510±0,0200;0,1518±0,0224;0,1512±0,0228;0,1521±0,0231;
mlnotmut_b;0,0662±0,0153;0,0998±0,0148;0,0894±0,0166;0,0949±0,0140;0,1001±0,0181;0,1047±0,0195;0,1119±0,0221;0,1158±0,0216;0,1224±0,0190;0,1280±0,0177;0,1315±0,0185;0,1356±0,0209;0,1391±0,0210;0,1436±0,0212;0,1468±0,0243;0,1487±0,0224;0,1529±0,0232;0,1522±0,0253;0,1543±0,0256;0,1534±0,0226;
