;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;
mLkNN;0,3938±0,0613;0,3846±0,0418;0,3926±0,0587;0,4426±0,0390;0,4626±0,0505;0,4975±0,0508;0,4882±0,0463;0,4611±0,0527;0,4592±0,0418;0,4148±0,0452;0,4246±0,0565;0,4387±0,0558;0,4175±0,0605;0,4357±0,0307;0,4278±0,0505;0,4121±0,0354;0,4029±0,0351;0,4164±0,0446;0,4429±0,0568;0,4604±0,0448;
bRkNN;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;
bRkNN_a;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;
bRkNN_b;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;
mlmut;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;
mlmut_a;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;0,3662±0,0201;
mlmut_b;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;
mlnotmut;0,3938±0,0613;0,4660±0,0427;0,3909±0,0621;0,3915±0,0451;0,3697±0,0250;0,3707±0,0256;0,3697±0,0250;0,3736±0,0260;0,3707±0,0256;0,3707±0,0256;0,3707±0,0256;0,3736±0,0260;0,3726±0,0255;0,3726±0,0255;0,3716±0,0216;0,3716±0,0216;0,3716±0,0216;0,3716±0,0216;0,3716±0,0216;0,3716±0,0216;
mlnotmut_a;0,3938±0,0613;0,4660±0,0427;0,3909±0,0621;0,3915±0,0451;0,3697±0,0250;0,3707±0,0256;0,3697±0,0250;0,3736±0,0260;0,3707±0,0256;0,3707±0,0256;0,3707±0,0256;0,3736±0,0260;0,3726±0,0255;0,3726±0,0255;0,3716±0,0216;0,3716±0,0216;0,3716±0,0216;0,3716±0,0216;0,3716±0,0216;0,3716±0,0216;
mlnotmut_b;0,3938±0,0613;0,4400±0,0480;0,3979±0,0599;0,3850±0,0335;0,3812±0,0314;0,3760±0,0260;0,3789±0,0318;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3736±0,0260;0,3725±0,0254;0,3748±0,0268;0,3748±0,0268;0,3725±0,0254;0,3748±0,0268;0,3716±0,0216;
